capacity_pct,grid,dev_realized,reliability_pct,delivered_ratio_vs_ll,critical_request_served_count,critical_request_count,p95_wait_minutes,squared_load_proxy_ratio_vs_anchor,ramp_p95_ratio_vs_anchor,peak_to_average_ratio,all_pass,driver_pass,fleet_pass,grid_pass,U_D,U_F,U_G
20,NoGrid,0.0,100.0,1.0,100.0,100.0,5.0,1.08,1.06,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.9942427652121378
20,NoGrid,0.0125,97.625,0.985,98.0,100.0,6.5,1.11125,1.0825,1.525,0.5508435727833981,1.0,1.0,1.0,0.9742361111111111,0.9761111111111112,0.9666249106229118
20,NoGrid,0.025,95.25,0.97,96.0,100.0,8.0,1.1425,1.105,1.55,0.27853641386312555,1.0,1.0,0.0,0.9484722222222222,0.9522222222222222,0.9390070560336857
20,NoGrid,0.0375,92.875,0.955,94.0,100.0,9.5,1.17375,1.1275,1.575,0.1357897558102062,0.0,1.0,0.0,0.9227083333333332,0.9283333333333332,0.9113892014444597
20,NoGrid,0.05,90.5,0.94,92.0,100.0,11.0,1.205,1.15,1.6,0.0645770905872917,0.0,1.0,0.0,0.8969444444444444,0.9044444444444444,0.8837713468552336
20,NoGrid,0.075,85.75,0.91,88.0,100.0,14.0,1.2675,1.195,1.65,0.013843941005805752,0.0,1.0,0.0,0.8454166666666667,0.8566666666666667,0.8285356376767815
20,NoGrid,0.1,81.0,0.88,84.0,100.0,17.0,1.33,1.24,1.7,0.0028141508480905198,0.0,0.0,0.0,0.7938888888888889,0.8088888888888889,0.7732999284983294
20,NoGrid,0.15,71.50000000000001,0.8200000000000001,76.0,100.0,23.0,1.455,1.33,1.8,0.00010368192002083772,0.0,0.0,0.0,0.6908333333333335,0.7133333333333334,0.6628285101414251
20,NoGrid,0.22,58.20000000000001,0.736,64.8,100.0,31.4,1.63,1.456,1.94,8.47650216058298e-07,0.0,0.0,0.0,0.5465555555555556,0.5795555555555556,0.5081685244417595
20,NoGrid,0.32,39.2,0.616,48.8,100.0,43.4,1.88,1.6360000000000001,2.14,6.778286609650075e-10,0.0,0.0,0.0,0.34044444444444444,0.3884444444444444,0.2872256877279509
20,NoGrid,0.45,14.500000000000002,0.45999999999999996,27.999999999999993,100.0,59.0,2.205,1.87,2.4,4.561434700740439e-14,0.0,0.0,0.0,0.07250000000000001,0.13999999999999996,0.0
20,PeakPenalty,0.0,100.0,1.0,100.0,100.0,5.0,1.0704,1.0528,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,PeakPenalty,0.0125,97.625,0.985,98.0,100.0,6.5,1.0979,1.0726,1.525,0.6508435727833981,1.0,1.0,1.0,0.9742361111111111,0.9761111111111112,0.9745851768503699
