experiment,scenario_label,scenario,site_type,demand_regime,capacity_pct,n_slots_home,n_slots_work,n_slots_public,seed,policy,family,reliability_pct,failure_count,mandatory_events,urgent_trip_reliability_pct,urgent_trip_failure_count,urgent_trip_events,delivered_kwh_per_vehicle,total_delivered_kwh,peak_demand_kw,mean_demand_kw,coincidence_factor,peak_to_average_ratio,load_factor,line_loss_proxy_kw2h,capacity_kw_proxy,overload_hours_proxy,p95_wait_minutes,mean_wait_minutes,max_queue_length,mean_queue_length,queue_abandonments_location_total,queue_abandonments_timeout_total,action_counts,idle_action_count,normal_request_action_count,flexible_request_action_count,other_action_count,idle_action_share,normal_request_action_share,flexible_request_action_share,cheap_window_request_share,charge_above_target_request_share,claim_boundary,request_count,admitted_count,requested_not_delivered_count,critical_request_count,critical_request_served_count,critical_request_missed_count,optional_request_count,optional_request_served_count,optional_request_missed_count,critical_requested_not_delivered_count,flexible_requested_not_delivered_count,scarce_hour_count,scarce_request_count,scarce_unserved_count,oversubscription_vehicle_steps,queue_rejection_count,cheap_window_request_count,charge_above_target_request_count,low_laxity_missed_charge_count,horizon_hours,driver_behavior,fleet_policy,grid_policy,multi_actor_description,energy_cost_usd,ramp_p95_kw,demand_charge_exposure_usd_month_25,delivered_ratio_vs_ll,peak_ratio_vs_ll,critical_rnd_delta_vs_ll,oversub_delta_vs_ll,reliability_delta_vs_ll_pp,p95_wait_delta_vs_ll_min,energy_matched_1pct,energy_matched_2pct,service_gate_pass,classification,anchor_policy,driver_service_pass,fleet_queue_pass,fleet_cost_pass,fleet_operation_pass,grid_peak_pass,grid_shape_pass,grid_pass,all_pass,final_acceptability_class,actor_failure_pattern,first_failed_layer,requested_not_delivered_delta_vs_anchor,mean_queue_delta_vs_anchor,max_queue_delta_vs_anchor,energy_cost_ratio_vs_anchor,energy_cost_delta_usd_vs_anchor,demand_charge_ratio_vs_anchor,demand_charge_delta_usd_month_25_vs_anchor,peak_to_average_ratio_vs_anchor,ramp_p95_ratio_vs_anchor,load_factor_delta_vs_anchor,squared_load_proxy_ratio_vs_anchor,mean_compliance_probability,noncompliance_share,fleet_recommended_request_count,grid_adjusted_request_count,actual_request_count_driver_layer,grid_deferred_request_count,queue_high_timesteps,queue_avoidance_count,cheap_window_actual_request_share,dev_target,dev_realized
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_Uncoordinated__G_NoGrid,multi_actor,85.6156501726122,125,869,85.6156501726122,125,869,38.6111589341156,3088.892714729248,212.0,194.7797619047619,1.0884087644775846,1.0884087644775846,0.9187724618149146,6460399.0,129.6,166,6131.999999999999,2196.75,49,15.845238095238095,310,267,"[7888, 0, 5552, 0]",7888,5552,0,0,0.5869047619047619,0.41309523809523807,0.0,0.21920028818443804,0.5770893371757925,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",5552,2623,4990,4410,502,3908,48,43,5,3908,0,168,5552,4990,5581,577,1217,3204,0,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Uncoordinated immediate-charging baseline NoGridIncentive,869055.8490435116,21.0,5300.0,0.841381140847239,1.0707070707070707,3908,5581,-8.630609896432674,6131.999999999999,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,False,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,4990.0,15.845238095238095,35.0,0.8262565128855116,-182743.24178426666,1.0707070707070707,350.0,0.20139357700094795,0.29577464788732394,0.7337375892800421,13.81723240390024,1.0,0.0,5552.0,5552.0,5552.0,0.0,168.0,0.0,0.21920028818443804,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_Uncoordinated__G_PeakPenalty,multi_actor,94.13118527042577,51,869,94.13118527042577,51,869,46.39607670116301,3711.6861360930407,184.0,177.44642857142858,1.0369326758579047,1.0369326758579047,0.9643827639751553,5319987.0,129.6,166,0.0,0.0,10,0.0,0,0,"[11233, 0, 2207, 0]",11233,2207,0,0,0.8357886904761904,0.16421130952380952,0.0,0.3017671046669687,0.7539646579066607,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2207,2207,1548,4410,600,3810,93,42,51,1004,0,0,0,0,0,0,666,1664,2806,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Uncoordinated immediate-charging baseline GridPeakPenalty,1063849.214694085,14.0,4600.0,1.011023367940631,0.9292929292929293,1004,0,-0.11507479861910497,0.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,1548.0,0.0,-4.0,1.0114566783441725,12050.12386630685,0.9292929292929293,-350.0,0.1918687055046117,0.19718309859154928,0.7793478914402828,11.378166699104503,1.0,0.0,5552.0,2207.0,2207.0,3345.0,0.0,0.0,0.3017671046669687,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4542,D_Severity1Mild__F_Uncoordinated__G_NoGrid,multi_actor,89.01601830663616,96,874,89.01601830663616,96,874,45.34502731050428,3627.6021848403425,212.0,206.32142857142858,1.0275229357798163,1.0275229357798163,0.9732142857142858,7171494.0,129.6,168,7268.999999999999,2721.75,40,20.083333333333332,328,255,"[6911, 0, 6529, 0]",6911,6529,0,0,0.5142113095238096,0.4857886904761905,0.0,0.2386276612038597,0.6552305100321641,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",6529,2900,5868,5154,583,4571,78,52,26,4571,0,168,6529,5868,6984,583,1558,4278,0,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Uncoordinated immediate-charging baseline NoGridIncentive,973311.6901773678,21.0,5300.0,0.8731161948896806,1.0707070707070707,4571,6984,-6.292906178489702,7268.999999999999,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,False,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,5868.0,20.083333333333332,26.0,0.838853360740676,-186976.55056827352,1.0707070707070707,350.0,0.2430729311463256,0.28187919463087313,0.7366522366522368,10.651561532257706,1.0,0.0,6529.0,6529.0,6529.0,0.0,168.0,0.0,0.2386276612038597,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4542,D_Severity1Mild__F_Uncoordinated__G_PeakPenalty,multi_actor,95.08009153318078,43,874,95.08009153318078,43,874,52.90228467550833,4232.182774040666,184.0,182.07142857142858,1.0105923891722244,1.0105923891722244,0.9895186335403727,5576026.0,129.6,168,0.0,0.0,10,0.0,0,0,"[11122, 0, 2318, 0]",11122,2318,0,0,0.8275297619047619,0.1724702380952381,0.0,0.28904227782571185,0.7381363244176014,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2318,2318,1538,5153,724,4429,151,33,118,1181,0,0,0,0,0,0,670,1711,3248,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Uncoordinated immediate-charging baseline GridPeakPenalty,1186189.4110757194,7.0,4600.0,1.0186308011363907,0.9292929292929293,1181,0,-0.2288329519450798,0.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,1538.0,0.0,-4.0,1.0223230482051884,25901.17033007811,0.9292929292929293,-350.0,0.2390678063490931,0.09395973154362437,0.7529565844783237,8.281870422602152,1.0,0.0,6529.0,2318.0,2318.0,4211.0,0.0,0.0,0.28904227782571185,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4543,D_Severity1Mild__F_Uncoordinated__G_NoGrid,multi_actor,88.36930455635492,97,834,88.36930455635492,97,834,38.374424453095386,3069.953956247631,212.0,193.54166666666666,1.0953713670613563,1.0953713670613563,0.9129323899371069,6345969.0,129.6,168,6911.999999999999,2220.0,40,16.071428571428573,321,260,"[7899, 0, 5541, 0]",7899,5541,0,0,0.5877232142857143,0.4122767857142857,0.0,0.2169283522829814,0.5998917162966974,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",5541,2581,4994,4399,473,3926,61,51,10,3926,0,168,5541,4994,5650,581,1202,3324,0,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Uncoordinated immediate-charging baseline NoGridIncentive,887704.8707335794,18.89999999999992,5300.0,0.847442163461624,1.0707070707070707,3926,5650,-6.714628297362111,6911.999999999999,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,False,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,4994.0,16.071428571428573,26.0,0.8384677619772476,-171017.8506268966,1.0707070707070707,350.0,0.20841165771198067,0.2241992882562277,0.7226666371713542,12.344538011286378,1.0,0.0,5541.0,5541.0,5541.0,0.0,168.0,0.0,0.2169283522829814,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4543,D_Severity1Mild__F_Uncoordinated__G_PeakPenalty,multi_actor,95.32374100719424,39,834,95.32374100719424,39,834,46.18756819891785,3695.0054559134282,184.0,178.29166666666666,1.0320168263612994,1.0320168263612994,0.9689764492753623,5352193.0,129.6,168,0.0,0.0,10,0.0,0,0,"[11225, 0, 2215, 0]",11225,2215,0,0,0.8351934523809523,0.16480654761904762,0.0,0.2979683972911964,0.7611738148984198,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2215,2215,1563,4394,579,3815,65,52,13,1034,0,0,0,0,0,0,660,1686,2781,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Uncoordinated immediate-charging baseline GridPeakPenalty,1075896.7238909553,14.0,4600.0,1.0199838376042407,0.9292929292929293,1034,0,0.23980815347721318,0.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,1563.0,0.0,-4.0,1.0162214356828108,17174.002530479338,0.9292929292929293,-350.0,0.1963574583345558,0.16607354685646566,0.7787106965096096,10.411388699226372,1.0,0.0,5541.0,2215.0,2215.0,3326.0,0.0,0.0,0.2979683972911964,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4544,D_Severity1Mild__F_Uncoordinated__G_NoGrid,multi_actor,89.81264637002342,87,854,89.81264637002342,87,854,49.42936318553759,3954.3490548430073,212.0,207.08333333333334,1.0237424547283702,1.0237424547283702,0.976808176100629,7218792.0,129.6,168,7920.0,2913.75,39,21.49404761904762,326,274,"[6649, 0, 6791, 0]",6649,6791,0,0,0.4947172619047619,0.505282738095238,0.0,0.24797526137534973,0.6541010160506553,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",6791,2906,6081,5292,637,4655,111,49,62,4655,0,168,6791,6081,7475,600,1684,4442,0,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Uncoordinated immediate-charging baseline NoGridIncentive,1115979.5335865207,14.0,5300.0,0.8871861895000009,1.0341463414634147,4655,7475,-6.323185011709597,7920.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,6081.0,21.49404761904762,25.0,0.889185045558018,-139079.285903831,1.0341463414634147,175.0,0.25667874844888144,0.1620370370370375,0.7260822759844849,8.604627489591069,1.0,0.0,6791.0,6791.0,6791.0,0.0,168.0,0.0,0.24797526137534973,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4544,D_Severity1Mild__F_Uncoordinated__G_PeakPenalty,multi_actor,95.90163934426229,35,854,95.90163934426229,35,854,55.93665017994017,4474.932014395214,184.0,182.58333333333334,1.0077590141487904,1.0077590141487904,0.9923007246376813,5602674.0,129.6,168,0.0,0.0,10,0.0,0,0,"[11122, 0, 2318, 0]",11122,2318,0,0,0.8275297619047619,0.1724702380952381,0.0,0.28731665228645387,0.7243313201035375,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2318,2318,1498,5290,756,4534,176,40,136,1133,0,0,0,0,0,0,666,1679,3401,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Uncoordinated immediate-charging baseline GridPeakPenalty,1295583.7769901184,7.0,4600.0,1.0039826598667505,0.8975609756097561,1133,0,-0.23419203747072004,0.0,True,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,1498.0,0.0,-4.0,1.0322892894503723,40524.95749976672,0.8975609756097561,-525.0,0.2526712859226134,0.08101851851851875,0.7415748245215372,6.6782534689484265,1.0,0.0,6791.0,2318.0,2318.0,4473.0,0.0,0.0,0.28731665228645387,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4545,D_Severity1Mild__F_Uncoordinated__G_NoGrid,multi_actor,90.13761467889908,86,872,90.13761467889908,86,872,47.475478911935284,3798.0383129548227,212.0,207.54166666666666,1.02148163019474,1.02148163019474,0.9789701257861635,7251195.0,129.6,168,7443.0,3020.25,43,22.13095238095238,336,309,"[6496, 0, 6944, 0]",6496,6944,0,0,0.48333333333333334,0.5166666666666667,0.0,0.23790322580645162,0.6529377880184332,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",6944,2917,6232,5431,617,4814,91,67,24,4814,0,168,6944,6232,7718,645,1652,4534,0,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Uncoordinated immediate-charging baseline NoGridIncentive,1081149.5768515794,14.0,5300.0,0.8764944192645913,1.0707070707070707,4814,7718,-5.848623853211009,7443.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,False,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,6232.0,22.13095238095238,29.0,0.8504406028857353,-190132.12487220578,1.0707070707070707,350.0,0.23372104038636865,0.21875,0.7501642094802472,11.221928522679262,1.0,0.0,6944.0,6944.0,6944.0,0.0,168.0,0.0,0.23790322580645162,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4545,D_Severity1Mild__F_Uncoordinated__G_PeakPenalty,multi_actor,96.10091743119266,34,872,96.10091743119266,34,872,54.86591622575679,4389.273298060543,184.0,182.125,1.0102951269732328,1.0102951269732328,0.9898097826086957,5576151.0,129.6,168,0.0,0.0,10,0.0,0,0,"[11133, 0, 2307, 0]",11133,2307,0,0,0.8283482142857143,0.17165178571428572,0.0,0.2847854356306892,0.7247507585609017,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2307,2307,1485,5428,749,4679,122,51,71,1120,0,0,0,0,0,0,657,1672,3559,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Uncoordinated immediate-charging baseline GridPeakPenalty,1292673.8095035749,7.0,4600.0,1.0129370041515204,0.9292929292929293,1120,0,0.11467889908256268,0.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,1485.0,0.0,-4.0,1.0168271971120038,21392.107779789716,0.9292929292929293,-350.0,0.2311615022665126,0.109375,0.7610038663027794,8.629635246834003,1.0,0.0,6944.0,2307.0,2307.0,4637.0,0.0,0.0,0.2847854356306892,0.0,0.0
