cluster,sessionID
2,1_1_178_817_2018-10-31 00:18:46.479605
2,1_1_193_825_2018-10-31 01:16:58.783027
2,1_1_191_785_2018-10-31 11:58:55.406463
1,1_1_194_821_2018-10-31 12:32:41.386834
1,1_1_191_789_2018-10-31 12:39:58.737692
1,1_1_178_823_2018-10-31 12:47:01.790360
0,1_1_191_802_2018-10-31 13:01:23.965870
1,1_1_191_785_2018-10-31 13:11:21.986647
1,1_1_193_819_2018-10-31 13:12:48.125420
0,1_1_194_822_2018-10-31 13:23:36.388440
1,1_1_193_820_2018-10-31 13:28:54.081105
1,1_1_178_828_2018-10-31 13:29:15.853916
0,1_1_193_827_2018-10-31 13:31:56.267401
0,1_1_193_816_2018-10-31 13:32:19.395973
1,1_1_194_826_2018-10-31 13:41:43.304291
1,1_1_179_799_2018-10-31 13:42:41.555854
1,1_1_194_818_2018-10-31 13:44:23.464305
1,1_1_178_817_2018-10-31 13:49:14.453517
0,1_1_193_825_2018-10-31 13:50:19.882238
1,1_1_193_829_2018-10-31 13:53:43.745029
1,1_1_179_797_2018-10-31 13:58:22.552298
1,1_1_179_800_2018-10-31 13:59:44.174557
1,1_1_179_810_2018-10-31 14:01:08.413325
1,1_1_179_809_2018-10-31 14:20:09.524654
0,1_1_179_779_2018-10-31 14:23:44.693650
1,1_1_179_791_2018-10-31 14:25:59.533163
1,1_1_191_780_2018-10-31 14:26:30.281855
0,1_1_179_801_2018-10-31 14:28:27.045643
1,1_1_191_804_2018-10-31 14:30:16.994032
0,1_1_179_794_2018-10-31 14:34:01.005263
1,1_1_179_796_2018-10-31 14:36:49.697075
0,1_1_191_808_2018-10-31 14:37:18.035287
0,1_1_191_803_2018-10-31 14:38:12.055106
1,1_1_191_811_2018-10-31 14:38:45.235523
0,1_1_191_807_2018-10-31 14:38:50.704540
2,1_1_179_798_2018-10-31 14:41:51.323223
1,1_1_179_787_2018-10-31 14:43:02.978857
0,1_1_179_788_2018-10-31 14:43:18.746773
0,1_1_191_778_2018-10-31 14:46:45.278285
1,1_1_191_795_2018-10-31 14:51:28.903075
1,1_1_191_812_2018-10-31 14:53:33.878514
1,1_1_191_805_2018-10-31 14:54:12.905656
0,1_1_191_782_2018-10-31 14:58:45.363122
0,1_1_191_793_2018-10-31 15:13:06.823778
1,1_1_191_792_2018-10-31 15:29:09.179318
0,1_1_179_783_2018-10-31 19:08:07.046430
2,1_1_179_798_2018-10-31 19:43:19.324698
2,1_1_191_782_2018-10-31 20:07:30.523270
2,1_1_193_825_2018-10-31 21:03:50.959013
2,1_1_194_821_2018-10-31 21:46:01.926364
2,1_1_178_823_2018-10-31 22:51:42.024975
2,1_1_193_827_2018-10-31 23:09:54.309339
2,1_1_179_777_2018-10-31 23:15:37.624005
2,1_1_179_797_2018-10-31 23:22:17.348188
2,1_1_193_820_2018-10-31 23:25:58.958027
2,1_1_193_819_2018-11-01 00:08:16.403059
1,1_1_193_827_2018-11-01 12:24:44.795402
0,1_1_178_824_2018-11-01 12:36:34.589955
1,1_1_194_821_2018-11-01 12:40:38.037593
1,1_1_178_823_2018-11-01 12:48:14.268383
1,1_1_191_789_2018-11-01 12:50:56.998469
2,1_1_191_785_2018-11-01 12:52:14.911288
1,1_1_193_819_2018-11-01 13:14:14.368584
1,1_1_194_826_2018-11-01 13:29:46.010449
1,1_1_178_828_2018-11-01 13:30:46.477155
1,1_1_193_829_2018-11-01 13:32:14.329831
0,1_1_191_803_2018-11-01 13:37:50.046321
1,1_1_178_817_2018-11-01 13:46:56.052928
0,1_1_179_799_2018-11-01 13:51:03.507054
1,1_1_179_781_2018-11-01 13:52:43.008358
1,1_1_191_805_2018-11-01 13:54:34.248548
0,1_1_194_822_2018-11-01 14:08:31.705461
1,1_1_194_818_2018-11-01 14:12:06.094746
0,1_1_193_816_2018-11-01 14:14:24.805102
0,1_1_179_809_2018-11-01 14:22:11.152571
1,1_1_191_780_2018-11-01 14:24:00.272332
0,1_1_179_777_2018-11-01 14:25:08.132758
1,1_1_179_787_2018-11-01 14:25:54.032320
1,1_1_179_800_2018-11-01 14:27:50.563536
1,1_1_179_791_2018-11-01 14:29:08.363061
1,1_1_179_797_2018-11-01 14:30:17.432673
1,1_1_191_785_2018-11-01 14:32:12.584896
1,1_1_179_783_2018-11-01 14:34:06.363643
2,1_1_179_813_2018-11-01 14:38:55.836088
1,1_1_179_796_2018-11-01 14:42:00.755721
1,1_1_179_788_2018-11-01 14:42:35.916053
2,1_1_191_808_2018-11-01 14:45:18.179159
1,1_1_191_807_2018-11-01 14:46:03.489706
1,1_1_179_801_2018-11-01 14:46:52.174221
1,1_1_191_802_2018-11-01 14:50:29.571204
0,1_1_179_790_2018-11-01 14:51:36.236088
0,1_1_191_782_2018-11-01 14:56:19.167503
1,1_1_179_779_2018-11-01 14:57:34.059201
1,1_1_191_778_2018-11-01 15:05:16.800371
1,1_1_191_812_2018-11-01 15:14:06.907191
1,1_1_191_795_2018-11-01 15:17:36.686666
0,1_1_191_793_2018-11-01 15:21:49.350932
1,1_1_191_784_2018-11-01 15:24:06.709459
1,1_1_191_792_2018-11-01 15:29:52.793542
1,1_1_191_804_2018-11-01 15:34:03.350219
1,1_1_179_813_2018-11-01 18:22:22.246961
0,1_1_179_777_2018-11-01 18:47:48.340265
1,1_1_191_806_2018-11-01 19:15:08.616303
