variant,severity_level,grid_policy,n_episodes,driver_pass_rate,fleet_pass_rate,grid_pass_rate,all_pass_rate
base,0,GridPeakPenalty,5,1.0,1.0,1.0,1.0
base,1,GridPeakPenalty,5,0.0,0.6,0.2,0.0
base,0,NoGridIncentive,5,1.0,1.0,1.0,1.0
base,1,NoGridIncentive,5,0.0,0.0,0.0,0.0
equal_service,0,GridPeakPenalty,5,1.0,1.0,1.0,1.0
equal_service,1,GridPeakPenalty,5,0.0,0.6,0.2,0.0
equal_service,0,NoGridIncentive,5,1.0,1.0,1.0,1.0
equal_service,1,NoGridIncentive,5,0.0,0.0,0.0,0.0
no_grid_penalty,0,GridPeakPenalty,5,1.0,1.0,1.0,1.0
no_grid_penalty,1,GridPeakPenalty,5,0.0,0.6,0.2,0.0
no_grid_penalty,0,NoGridIncentive,5,1.0,1.0,1.0,1.0
no_grid_penalty,1,NoGridIncentive,5,0.0,0.0,0.0,0.0
normalized,0,GridPeakPenalty,5,1.0,1.0,1.0,1.0
normalized,1,GridPeakPenalty,5,0.0,0.6,0.2,0.0
normalized,0,NoGridIncentive,5,1.0,1.0,1.0,1.0
normalized,1,NoGridIncentive,5,0.0,0.0,0.0,0.0
perturb_+25%,0,GridPeakPenalty,5,1.0,1.0,1.0,1.0
perturb_+25%,1,GridPeakPenalty,5,0.0,0.6,0.2,0.0
perturb_+25%,0,NoGridIncentive,5,1.0,1.0,1.0,1.0
perturb_+25%,1,NoGridIncentive,5,0.0,0.0,0.0,0.0
perturb_-25%,0,GridPeakPenalty,5,1.0,1.0,1.0,1.0
perturb_-25%,1,GridPeakPenalty,5,0.0,0.6,0.2,0.0
perturb_-25%,0,NoGridIncentive,5,1.0,1.0,1.0,1.0
perturb_-25%,1,NoGridIncentive,5,0.0,0.0,0.0,0.0
