actor_failure_pattern,driver_behavior,fleet_policy,grid_policy,rows
all_pass,FullyCompliant,FleetServiceFirst,NoGridIncentive,60
all_pass,FullyCompliant,FleetServiceFirst,GridPeakPenalty,28
all_pass,LimitedAttentionP0025,FleetServiceFirst,NoGridIncentive,25
all_pass,LimitedAttentionP005,FleetServiceFirst,NoGridIncentive,16
driver_fleet_grid_fail,FullyCompliant,FleetAvailabilityFocused,NoGridIncentive,30
driver_fleet_grid_fail,FullyCompliant,FleetCostOnly,GridPeakPenalty,30
driver_fleet_grid_fail,FullyCompliant,FleetCostOnly,NoGridIncentive,30
driver_fleet_grid_fail,FullyCompliant,FleetQueueAware,GridPeakPenalty,30
driver_fleet_grid_fail,FullyCompliant,FleetQueueAware,NoGridIncentive,30
driver_fleet_grid_fail,FullyCompliant,FleetServiceCostly,NoGridIncentive,30
driver_fleet_grid_fail,PriceSensitive,FleetQueueAware,GridPeakPenalty,30
driver_fleet_grid_fail,PriceSensitive,FleetServiceFirst,NoGridIncentive,30
driver_fleet_grid_fail,ReserveSeeking,FleetServiceFirst,NoGridIncentive,30
driver_fleet_grid_fail,SoCCompliance,FleetQueueAware,GridPeakPenalty,30
driver_fleet_grid_fail,SoCCompliance,FleetServiceFirst,NoGridIncentive,30
driver_fleet_grid_fail,SoCQueueCompliance,FleetServiceFirst,NoGridIncentive,30
driver_fleet_grid_fail,UrgencyDriven,FleetServiceFirst,NoGridIncentive,30
driver_grid_fail,LimitedAttentionP005,FleetServiceFirst,NoGridIncentive,1
driver_only_fail,LimitedAttentionP005,FleetServiceFirst,NoGridIncentive,5
driver_only_fail,LimitedAttentionP0025,FleetServiceFirst,NoGridIncentive,1
grid_only_fail,LimitedAttentionP005,FleetServiceFirst,NoGridIncentive,8
grid_only_fail,LimitedAttentionP0025,FleetServiceFirst,NoGridIncentive,4
grid_only_fail,FullyCompliant,FleetServiceFirst,GridPeakPenalty,2
