fleet_policy,grid_policy,capacity_pct,rows,driver_pass_rate,fleet_pass_rate,grid_pass_rate,mutual_acceptability_rate,energy_cost_ratio_mean,peak_ratio_mean,p95_wait_delta_mean,demand_charge_delta_mean
FleetAvailabilityFocused,NoGridIncentive,20,10,0.0,0.0,0.0,0.0,1.0060423239009795,1.019811320754717,0.0,52.5
FleetAvailabilityFocused,NoGridIncentive,35,10,0.0,0.0,0.0,0.0,1.0119153723795669,1.0641546353588238,0.0,315.0
FleetAvailabilityFocused,NoGridIncentive,50,10,0.0,0.0,0.0,0.0,1.0113942135198448,1.0646556292476652,0.0,350.0
FleetCostOnly,GridPeakPenalty,20,10,0.0,0.0,0.0,0.0,0.9442284926370317,0.8934630155284689,0.0,-297.5
FleetCostOnly,GridPeakPenalty,35,10,0.0,0.0,0.0,0.0,0.9644515970600367,0.929967660403302,0.0,-350.0
FleetCostOnly,GridPeakPenalty,50,10,0.0,0.0,0.0,0.0,0.965343588550291,0.971741114246992,0.0,-192.5
FleetCostOnly,NoGridIncentive,20,10,0.0,0.0,0.0,0.0,0.93367502607612,1.019811320754717,104.39999999999986,52.5
FleetCostOnly,NoGridIncentive,35,10,0.0,0.0,0.0,0.0,0.9593483060416064,1.0641546353588238,43.499999999999915,315.0
FleetCostOnly,NoGridIncentive,50,10,0.0,0.0,0.0,0.0,0.9636758509030837,1.0646556292476652,37.499999999999915,350.0
FleetQueueAware,GridPeakPenalty,20,30,0.0,0.0,0.0,0.0,0.87481053156157,0.9776952190126343,2332.9999999999995,-64.16666666666667
FleetQueueAware,GridPeakPenalty,35,30,0.0,0.0,0.0,0.0,0.8536538101026593,1.0098684663487587,1701.8999999999999,46.666666666666664
FleetQueueAware,GridPeakPenalty,50,30,0.0,0.0,0.0,0.0,0.8491328797303488,1.0243133778657811,1747.0999999999997,116.66666666666667
FleetQueueAware,NoGridIncentive,20,10,0.0,0.0,0.0,0.0,0.9395410132458387,1.019811320754717,0.0,52.5
FleetQueueAware,NoGridIncentive,35,10,0.0,0.0,0.0,0.0,0.953392828142132,1.0641546353588238,0.0,315.0
FleetQueueAware,NoGridIncentive,50,10,0.0,0.0,0.0,0.0,0.9544771552526884,1.0646556292476652,0.0,350.0
FleetServiceCostly,NoGridIncentive,20,10,0.0,0.0,0.0,0.0,0.9750408521302741,1.019811320754717,216.59999999999997,52.5
FleetServiceCostly,NoGridIncentive,35,10,0.0,0.0,0.0,0.0,0.9842765452296751,1.0569543603575018,169.49999999999991,280.0
FleetServiceCostly,NoGridIncentive,50,10,0.0,0.0,0.0,0.0,0.98483241620824,1.0479390831217645,163.7999999999999,262.5
FleetServiceFirst,GridPeakPenalty,20,10,1.0,1.0,1.0,1.0,1.0132522102337467,0.8934630155284689,0.0,-297.5
FleetServiceFirst,GridPeakPenalty,35,10,1.0,1.0,0.9,0.9,1.0059301457352867,0.8658130250444781,0.0,-665.0
FleetServiceFirst,GridPeakPenalty,50,10,1.0,1.0,0.9,0.9,1.0026496883734104,0.9129188183326601,0.0,-507.5
FleetServiceFirst,NoGridIncentive,20,90,0.43333333333333335,0.4444444444444444,0.4111111111111111,0.4,0.9416836869604839,1.0074738873119236,1483.7666666666667,19.444444444444443
FleetServiceFirst,NoGridIncentive,35,90,0.4111111111111111,0.4444444444444444,0.4111111111111111,0.3888888888888889,0.9217135076176708,1.004736893338757,1032.2666666666664,23.333333333333332
FleetServiceFirst,NoGridIncentive,50,90,0.4111111111111111,0.4444444444444444,0.36666666666666664,0.3333333333333333,0.9210538968331426,1.0004688672789148,1005.6666666666665,3.888888888888889
