scheme,budget,dev_realized,all_pass
none,0.0,0.0494,0.0
flat_tou,0.0,0.0494,0.0
flat_tou,0.02,0.0431,0.0
flat_tou,0.05,0.0337,0.0
flat_tou,0.1,0.0187,0.0
flat_tou,0.15,0.0061,0.7
flat_tou,0.2,0.0,1.0
slack,0.0,0.0494,0.0
slack,0.02,0.0452,0.0
slack,0.05,0.0391,0.0
slack,0.1,0.0318,0.0
slack,0.15,0.0269,0.0
slack,0.2,0.0235,0.0
compliance,0.0,0.0494,0.0
compliance,0.02,0.0349,0.0
compliance,0.05,0.0227,0.0
compliance,0.1,0.0104,0.6
compliance,0.15,0.0017,1.0
compliance,0.2,0.0002,1.0
override_fee,0.0,0.0494,0.0
override_fee,0.02,0.0187,0.0
override_fee,0.05,0.0187,0.0
override_fee,0.1,0.0187,0.0
override_fee,0.15,0.0187,0.0
override_fee,0.2,0.0187,0.0
