scheme,budget,dev_realized,all_pass,all_pass_lo,all_pass_hi,n_rows
none,0.0,0.0494,0.0,0.0,0.0,40
flat_tou,0.0,0.0494,0.0,0.0,0.0,40
flat_tou,0.02,0.0432,0.0,0.0,0.0,40
flat_tou,0.05,0.0337,0.0,0.0,0.0,40
flat_tou,0.1,0.0188,0.15,0.05,0.275,40
flat_tou,0.15,0.0062,0.875,0.775,0.975,40
flat_tou,0.2,0.0,1.0,1.0,1.0,40
slack,0.0,0.0494,0.0,0.0,0.0,40
slack,0.02,0.0452,0.0,0.0,0.0,40
slack,0.05,0.0392,0.0,0.0,0.0,40
slack,0.1,0.0319,0.0,0.0,0.0,40
slack,0.15,0.027,0.0,0.0,0.0,40
slack,0.2,0.0236,0.025,0.0,0.075,40
compliance,0.0,0.0494,0.0,0.0,0.0,40
compliance,0.02,0.0353,0.0,0.0,0.0,40
compliance,0.05,0.0227,0.15,0.05,0.275,40
compliance,0.1,0.0104,0.875,0.775,0.975,40
compliance,0.15,0.0017,1.0,1.0,1.0,40
compliance,0.2,0.0001,1.0,1.0,1.0,40
override_fee,0.0,0.0494,0.0,0.0,0.0,40
override_fee,0.02,0.0188,0.15,0.05,0.275,40
override_fee,0.05,0.0188,0.15,0.05,0.275,40
override_fee,0.1,0.0188,0.15,0.05,0.275,40
override_fee,0.15,0.0188,0.15,0.05,0.275,40
override_fee,0.2,0.0188,0.15,0.05,0.275,40
