experiment,scenario_label,scenario,site_type,demand_regime,capacity_pct,n_slots_home,n_slots_work,n_slots_public,seed,policy,family,reliability_pct,failure_count,mandatory_events,urgent_trip_reliability_pct,urgent_trip_failure_count,urgent_trip_events,delivered_kwh_per_vehicle,total_delivered_kwh,peak_demand_kw,mean_demand_kw,coincidence_factor,peak_to_average_ratio,load_factor,line_loss_proxy_kw2h,capacity_kw_proxy,overload_hours_proxy,p95_wait_minutes,mean_wait_minutes,max_queue_length,mean_queue_length,queue_abandonments_location_total,queue_abandonments_timeout_total,action_counts,idle_action_count,normal_request_action_count,flexible_request_action_count,other_action_count,idle_action_share,normal_request_action_share,flexible_request_action_share,cheap_window_request_share,charge_above_target_request_share,claim_boundary,request_count,admitted_count,requested_not_delivered_count,critical_request_count,critical_request_served_count,critical_request_missed_count,optional_request_count,optional_request_served_count,optional_request_missed_count,critical_requested_not_delivered_count,flexible_requested_not_delivered_count,scarce_hour_count,scarce_request_count,scarce_unserved_count,oversubscription_vehicle_steps,queue_rejection_count,cheap_window_request_count,charge_above_target_request_count,low_laxity_missed_charge_count,horizon_hours,driver_behavior,fleet_policy,grid_policy,multi_actor_description,energy_cost_usd,ramp_p95_kw,demand_charge_exposure_usd_month_25,delivered_ratio_vs_ll,peak_ratio_vs_ll,critical_rnd_delta_vs_ll,oversub_delta_vs_ll,reliability_delta_vs_ll_pp,p95_wait_delta_vs_ll_min,energy_matched_1pct,energy_matched_2pct,service_gate_pass,classification,anchor_policy,driver_service_pass,fleet_queue_pass,fleet_cost_pass,fleet_operation_pass,grid_peak_pass,grid_shape_pass,grid_pass,all_pass,final_acceptability_class,actor_failure_pattern,first_failed_layer,requested_not_delivered_delta_vs_anchor,mean_queue_delta_vs_anchor,max_queue_delta_vs_anchor,energy_cost_ratio_vs_anchor,energy_cost_delta_usd_vs_anchor,demand_charge_ratio_vs_anchor,demand_charge_delta_usd_month_25_vs_anchor,peak_to_average_ratio_vs_anchor,ramp_p95_ratio_vs_anchor,load_factor_delta_vs_anchor,squared_load_proxy_ratio_vs_anchor,mean_compliance_probability,noncompliance_share,fleet_recommended_request_count,grid_adjusted_request_count,actual_request_count_driver_layer,grid_deferred_request_count,queue_high_timesteps,queue_avoidance_count,cheap_window_actual_request_share
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4501,LeastLaxity,anchor,91.30938586326766,75,863,91.30938586326766,75,863,40.53623047910288,3242.8984383282304,113.0,40.38095238095238,2.7983490566037736,2.7983490566037736,0.3573535608933839,464374.0,72.0,30,0.0,0.0,8,0.0,0,0,"[12950, 0, 490, 0]",12950,490,0,0,0.9635416666666666,0.036458333333333336,0.0,0.25510204081632654,0.0,"Behavior Applied Energy package v1; behavior proxies are imposed perturbations, not measured traits.",490,490,0,4978,439,4539,72,51,21,0,0,0,0,0,0,0,125,0,4539,168,FullyCompliant,FleetServiceFirst,NoGridIncentive,LeastLaxity anchor used for paired thresholds.,904618.2414713623,57.0,2825.0,1.0,1.0,0,0,0.0,0.0,True,True,True,anchor,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4501,D_FullyCompliant__F_ServiceFirst__G_NoGrid,multi_actor,91.30938586326766,75,863,91.30938586326766,75,863,40.53623047910288,3242.8984383282304,113.0,40.38095238095238,2.7983490566037736,2.7983490566037736,0.3573535608933839,464374.0,72.0,30,0.0,0.0,8,0.0,0,0,"[12950, 0, 490, 0]",12950,490,0,0,0.9635416666666666,0.036458333333333336,0.0,0.25510204081632654,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",490,490,0,4978,439,4539,72,51,21,0,0,0,0,0,0,0,125,0,4539,168,FullyCompliant,FleetServiceFirst,NoGridIncentive,"Baseline multi-actor row: least-laxity service-first fleet recommendation, fully compliant driver layer, no grid incentive.",904618.2414713623,57.0,2825.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,490.0,490.0,490.0,0.0,0.0,0.0,0.25510204081632654
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4501,D_FullyCompliant__F_CostOnly__G_NoGrid,multi_actor,93.39513325608343,57,863,93.39513325608343,57,863,40.165274150317295,3213.2219320253835,113.0,91.30357142857143,1.2376295716800312,1.2376295716800312,0.8079962073324906,1557593.0,72.0,128,122.99999999999983,19.5,10,0.14285714285714285,0,2,"[12053, 51, 0, 1336]",12053,0,51,1336,0.8968005952380952,0.0,0.003794642857142857,0.334534967555876,0.6582552271088681,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",1387,1362,829,4978,534,4444,266,25,241,803,26,11,106,70,47,2,464,913,3642,168,FullyCompliant,FleetCostOnly,NoGridIncentive,Fleet shifts discretionary charging to cheap windows without an explicit grid guardrail.,834386.7118308311,42.69999999999999,2825.0,0.9908487709784257,1.0,803,47,2.0857473928157617,122.99999999999983,True,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,829.0,0.14285714285714285,2.0,0.9223633501726656,-70231.52964053117,1.0,0.0,0.44227133450681266,0.7491228070175436,0.4506426464391067,3.354177882482654,1.0,0.0,1387.0,1387.0,1387.0,0.0,11.0,0.0,0.334534967555876
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4501,D_FullyCompliant__F_ServiceCostly__G_NoGrid,multi_actor,91.88876013904984,70,863,91.88876013904984,70,863,39.13048374961355,3130.438699969084,113.0,72.11309523809524,1.5669830788278993,1.5669830788278993,0.6381689844079225,1175977.0,72.0,96,180.0,52.5,9,0.4166666666666667,18,0,"[12360, 0, 415, 665]",12360,415,0,665,0.9196428571428571,0.030877976190476192,0.0,0.10555555555555556,0.575,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",1080,1055,592,4979,490,4489,99,43,56,580,0,67,613,369,76,18,114,621,3946,168,FullyCompliant,FleetServiceCostly,NoGridIncentive,"Fleet preserves urgent service but shifts discretionary charging away from cheap windows, creating a fleet economic stress case.",870132.0383271226,54.19999999999993,2825.0,0.9653212271374365,1.0,580,76,0.5793742757821718,180.0,False,False,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,592.0,0.4166666666666667,1.0,0.9618776169181069,-34486.20314423973,1.0,0.0,0.5599669830788279,0.950877192982455,0.2808154235145386,2.532391994383837,1.0,0.0,1080.0,1080.0,1080.0,0.0,67.0,0.0,0.10555555555555556
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4501,D_FullyCompliant__F_QueueAware__G_NoGrid,multi_actor,93.74275782155273,54,863,93.74275782155273,54,863,38.17798629695061,3054.2389037560483,113.0,90.0,1.2555555555555555,1.2555555555555555,0.7964601769911505,1526224.0,72.0,126,0.0,0.0,8,0.0,0,0,"[12097, 0, 1, 1342]",12097,1,0,1342,0.9000744047619048,7.440476190476191e-05,0.0,0.3127326880119136,0.6827997021593447,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",1343,1343,802,4978,541,4437,899,0,899,802,0,0,0,0,0,0,420,917,3635,168,FullyCompliant,FleetQueueAware,NoGridIncentive,Fleet suppresses non-urgent/high-SoC requests under queue pressure.,852769.411151362,21.0,2825.0,0.9418237918454704,1.0,802,0,2.433371958285065,0.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,802.0,0.0,0.0,0.9426842971509527,-51848.8303200003,1.0,0.0,0.4486772486772487,0.3684210526315789,0.4391066160977666,3.286626727594568,1.0,0.0,1343.0,1343.0,1343.0,0.0,0.0,0.0,0.3127326880119136
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4501,D_FullyCompliant__F_AvailabilityFocused__G_NoGrid,multi_actor,93.6268829663963,55,863,93.6268829663963,55,863,40.59468767599255,3247.5750140794044,113.0,93.67261904761905,1.2063290334879582,1.2063290334879582,0.8289612305099031,1620221.0,72.0,137,0.0,0.0,8,0.0,0,0,"[12058, 0, 40, 1342]",12058,40,0,1342,0.897172619047619,0.002976190476190476,0.0,0.3060781476121563,0.6729377713458755,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",1382,1382,813,4978,530,4448,194,39,155,813,0,0,0,0,0,0,423,930,3635,168,FullyCompliant,FleetAvailabilityFocused,NoGridIncentive,Fleet maintains a higher readiness reserve for vehicles with likely upcoming needs.,901400.83530076,21.0,2825.0,1.0014420975063236,1.0,813,0,2.3174971031286304,0.0,True,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,813.0,0.0,0.0,0.9964433547510946,-3217.406170602306,1.0,0.0,0.431085975725996,0.3684210526315789,0.47160766961651923,3.4890433142251718,1.0,0.0,1382.0,1382.0,1382.0,0.0,0.0,0.0,0.3060781476121563
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4501,D_FullyCompliant__F_ServiceFirst__G_PeakPenalty,multi_actor,91.30938586326766,75,863,91.30938586326766,75,863,40.53623047910288,3242.8984383282304,99.0,40.339285714285715,2.454183266932271,2.454183266932271,0.4074675324675325,456611.0,72.0,29,0.0,0.0,6,0.0,0,0,"[12951, 0, 489, 0]",12951,489,0,0,0.9636160714285714,0.036383928571428574,0.0,0.23517382413087934,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",489,489,0,4978,439,4539,74,50,24,0,0,0,0,0,0,0,115,0,4539,168,FullyCompliant,FleetServiceFirst,GridPeakPenalty,Service-first fleet recommendation with an action-changing peak cap.,923107.3568961368,57.0,2475.0,1.0,0.8761061946902655,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-2.0,1.0204385834567098,18489.11542477447,0.8761061946902655,-350.0,0.8770111295232051,1.0,0.0501139715741486,0.9832828711340428,1.0,0.0,508.0,489.0,489.0,19.0,0.0,0.0,0.23517382413087934
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4501,D_FullyCompliant__F_CostOnly__G_PeakPenalty,multi_actor,93.39513325608343,57,863,93.39513325608343,57,863,40.12218767599255,3209.775014079404,99.0,84.83928571428571,1.1669122290044203,1.1669122290044203,0.8569624819624819,1315917.0,72.0,134,0.0,0.0,6,0.0,0,0,"[12270, 24, 0, 1146]",12270,0,24,1146,0.9129464285714286,0.0,0.0017857142857142857,0.3153846153846154,0.6196581196581197,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",1170,1170,618,4978,528,4450,485,24,461,618,0,0,0,0,0,0,369,725,3832,168,FullyCompliant,FleetCostOnly,GridPeakPenalty,Cheap-window fleet policy with a grid peak cap.,861041.8568245295,43.0,2475.0,0.989785858275012,0.8761061946902655,618,0,2.0857473928157617,0.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,618.0,0.0,-2.0,0.9518289786242252,-43576.38464683283,0.8761061946902655,-350.0,0.41700024028476546,0.7543859649122807,0.49960892106909804,2.833743921925,1.0,0.0,1460.0,1170.0,1170.0,290.0,0.0,0.0,0.3153846153846154
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4501,D_FullyCompliant__F_QueueAware__G_PeakPenalty,multi_actor,93.74275782155273,54,863,93.74275782155273,54,863,38.17798629695061,3054.2389037560483,99.0,81.79166666666667,1.2103922567498726,1.2103922567498726,0.8261784511784512,1248163.0,72.0,126,0.0,0.0,6,0.0,0,0,"[12294, 0, 1, 1145]",12294,1,0,1145,0.9147321428571429,7.440476190476191e-05,0.0,0.3010471204188482,0.6273996509598604,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",1146,1146,608,4978,538,4440,899,0,899,608,0,0,0,0,0,0,345,719,3832,168,FullyCompliant,FleetQueueAware,GridPeakPenalty,Queue-aware fleet policy with a grid peak cap.,884606.9652048042,21.0,2475.0,0.9418237918454704,0.8761061946902655,608,0,2.433371958285065,0.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,608.0,0.0,-2.0,0.9778787610627775,-20011.276266558096,0.8761061946902655,-350.0,0.432537983027346,0.3684210526315789,0.46882489028506735,2.68783997381421,1.0,0.0,1343.0,1146.0,1146.0,197.0,0.0,0.0,0.3010471204188482
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4501,D_LimitedAttentionP0025__F_ServiceFirst__G_NoGrid,multi_actor,91.19351100811124,76,863,91.19351100811124,76,863,39.82748047910288,3186.1984383282306,113.0,40.00595238095238,2.8245796756435055,2.8245796756435055,0.35403497682258744,458361.0,72.0,29,0.0,0.0,8,0.0,0,0,"[12959, 0, 481, 0]",12959,481,0,0,0.9642113095238095,0.035788690476190474,0.0,0.25571725571725573,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",481,481,0,4979,431,4548,78,50,28,0,0,0,0,0,0,0,123,0,4548,168,LimitedAttentionP0025,FleetServiceFirst,NoGridIncentive,Low-probability missed compliance with service-first fleet recommendation.,889704.6610269009,57.0,2825.0,0.9825156411530328,1.0,0,0,-0.11587485515642015,0.0,False,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,0.9835139512329483,-14913.580444461433,1.0,0.0,1.009373605118286,1.0,-0.0033185840707964376,0.9870513853058095,0.9749999999999999,0.0008928571428571428,493.0,493.0,481.0,0.0,0.0,0.0,0.25571725571725573
