driver_behavior,fleet_policy,grid_policy,final_acceptability_class,rows
FullyCompliant,FleetAvailabilityFocused,NoGridIncentive,not_mutually_acceptable,30
FullyCompliant,FleetCostOnly,GridPeakPenalty,not_mutually_acceptable,30
FullyCompliant,FleetCostOnly,NoGridIncentive,not_mutually_acceptable,30
FullyCompliant,FleetQueueAware,GridPeakPenalty,not_mutually_acceptable,30
FullyCompliant,FleetQueueAware,NoGridIncentive,not_mutually_acceptable,30
FullyCompliant,FleetServiceCostly,NoGridIncentive,not_mutually_acceptable,30
FullyCompliant,FleetServiceFirst,GridPeakPenalty,mutually_acceptable,28
FullyCompliant,FleetServiceFirst,GridPeakPenalty,not_mutually_acceptable,2
FullyCompliant,FleetServiceFirst,NoGridIncentive,mutually_acceptable,60
LimitedAttentionP0025,FleetServiceFirst,NoGridIncentive,mutually_acceptable,25
LimitedAttentionP0025,FleetServiceFirst,NoGridIncentive,not_mutually_acceptable,5
LimitedAttentionP005,FleetServiceFirst,NoGridIncentive,mutually_acceptable,16
LimitedAttentionP005,FleetServiceFirst,NoGridIncentive,not_mutually_acceptable,14
PriceSensitive,FleetQueueAware,GridPeakPenalty,not_mutually_acceptable,30
PriceSensitive,FleetServiceFirst,NoGridIncentive,not_mutually_acceptable,30
ReserveSeeking,FleetServiceFirst,NoGridIncentive,not_mutually_acceptable,30
SoCCompliance,FleetQueueAware,GridPeakPenalty,not_mutually_acceptable,30
SoCCompliance,FleetServiceFirst,NoGridIncentive,not_mutually_acceptable,30
SoCQueueCompliance,FleetServiceFirst,NoGridIncentive,not_mutually_acceptable,30
UrgencyDriven,FleetServiceFirst,NoGridIncentive,not_mutually_acceptable,30
