experiment,scenario_label,scenario,site_type,demand_regime,capacity_pct,n_slots_home,n_slots_work,n_slots_public,seed,policy,family,reliability_pct,failure_count,mandatory_events,urgent_trip_reliability_pct,urgent_trip_failure_count,urgent_trip_events,delivered_kwh_per_vehicle,total_delivered_kwh,peak_demand_kw,mean_demand_kw,coincidence_factor,peak_to_average_ratio,load_factor,line_loss_proxy_kw2h,capacity_kw_proxy,overload_hours_proxy,p95_wait_minutes,mean_wait_minutes,max_queue_length,mean_queue_length,queue_abandonments_location_total,queue_abandonments_timeout_total,action_counts,idle_action_count,normal_request_action_count,flexible_request_action_count,other_action_count,idle_action_share,normal_request_action_share,flexible_request_action_share,cheap_window_request_share,charge_above_target_request_share,claim_boundary,request_count,admitted_count,requested_not_delivered_count,critical_request_count,critical_request_served_count,critical_request_missed_count,optional_request_count,optional_request_served_count,optional_request_missed_count,critical_requested_not_delivered_count,flexible_requested_not_delivered_count,scarce_hour_count,scarce_request_count,scarce_unserved_count,oversubscription_vehicle_steps,queue_rejection_count,cheap_window_request_count,charge_above_target_request_count,low_laxity_missed_charge_count,horizon_hours,driver_behavior,fleet_policy,grid_policy,multi_actor_description,energy_cost_usd,ramp_p95_kw,demand_charge_exposure_usd_month_25,delivered_ratio_vs_ll,peak_ratio_vs_ll,critical_rnd_delta_vs_ll,oversub_delta_vs_ll,reliability_delta_vs_ll_pp,p95_wait_delta_vs_ll_min,energy_matched_1pct,energy_matched_2pct,service_gate_pass,classification,anchor_policy,driver_service_pass,fleet_queue_pass,fleet_cost_pass,fleet_operation_pass,grid_peak_pass,grid_shape_pass,grid_pass,all_pass,final_acceptability_class,actor_failure_pattern,first_failed_layer,requested_not_delivered_delta_vs_anchor,mean_queue_delta_vs_anchor,max_queue_delta_vs_anchor,energy_cost_ratio_vs_anchor,energy_cost_delta_usd_vs_anchor,demand_charge_ratio_vs_anchor,demand_charge_delta_usd_month_25_vs_anchor,peak_to_average_ratio_vs_anchor,ramp_p95_ratio_vs_anchor,load_factor_delta_vs_anchor,squared_load_proxy_ratio_vs_anchor,mean_compliance_probability,noncompliance_share,fleet_recommended_request_count,grid_adjusted_request_count,actual_request_count_driver_layer,grid_deferred_request_count,queue_high_timesteps,queue_avoidance_count,cheap_window_actual_request_share,variant
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,93.90103567318758,53,869,93.90103567318758,53,869,44.13064575394996,3530.451660315997,198.0,43.029761904761905,4.60146631622631,4.60146631622631,0.21732202982202983,561671.0,129.6,4,60.0,8.25,14,0.06547619047619048,6,0,"[12819, 0, 489, 132]",12819,489,0,132,0.9537946428571429,0.036383928571428574,0.0,0.2995169082125604,0.12721417069243157,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",621,615,62,4410,514,3896,54,50,4,62,0,10,59,14,11,6,186,79,3839,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,pref-abl FleetServiceFirst NoGridIncentive,998437.508744233,71.0,4950.0,0.96165704671393,1.0,62,11,-0.3452243958573007,60.0,False,False,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,62.0,0.06547619047619048,0.0,0.9492663736364813,-53361.58208354516,1.0,0.0,0.8514317332964447,1.0,0.03228715728715731,1.2012785497507277,0.9503720238095238,0.05081845238095238,548.0,548.0,621.0,0.0,10.0,0.0,0.2995169082125604,base
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,94.24626006904488,50,869,94.24626006904488,50,869,44.408403099182536,3552.672247934603,177.0,40.05952380952381,4.418424962852898,4.418424962852898,0.22632499327414582,482260.0,129.6,4,60.0,11.25,11,0.08928571428571429,5,0,"[12835, 0, 487, 118]",12835,487,0,118,0.9549851190476191,0.03623511904761905,0.0,0.30082644628099175,0.09586776859504133,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",605,599,50,4410,512,3898,56,52,4,50,0,16,77,17,16,5,182,58,3857,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,pref-abl FleetServiceFirst GridPeakPenalty,1004364.6691429171,68.89999999999992,4425.0,0.9677096957009562,0.8939393939393939,50,16,0.0,60.0,False,False,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,True,True,False,not_mutually_acceptable,driver_fleet_fail,driver,50.0,0.08928571428571429,-3.0,0.9549016327371708,-47434.42168486107,0.8939393939393939,-525.0,0.8175626998063849,0.9704225352112665,0.041290120739273295,1.031437609210349,0.9503720238095238,0.048214285714285716,565.0,548.0,605.0,17.0,16.0,0.0,0.30082644628099175,base
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4542,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,95.08009153318078,43,874,95.08009153318078,43,874,51.30042114670457,4104.033691736366,198.0,54.73809523809524,3.617224880382775,3.617224880382775,0.27645502645502645,806172.0,129.6,10,60.0,5.25,14,0.041666666666666664,1,0,"[12714, 0, 571, 155]",12714,571,0,155,0.9459821428571429,0.04248511904761905,0.0,0.3044077134986226,0.13636363636363635,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",726,724,77,5153,600,4553,57,54,3,77,0,8,50,7,8,1,221,99,4481,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,pref-abl FleetServiceFirst NoGridIncentive,1150745.5285267695,71.0,4950.0,0.9877870003503738,1.0,77,8,-0.2288329519450798,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,77.0,0.041666666666666664,0.0,0.9917755675841898,-9542.712218871806,1.0,0.0,0.8556981296215745,0.9530201342281901,0.0398929773929774,1.1973782120689578,0.9508184523809524,0.049107142857142856,630.0,630.0,726.0,0.0,8.0,0.0,0.3044077134986226,base
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4542,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,94.96567505720824,44,874,94.96567505720824,44,874,51.050974091114426,4084.077927289154,170.0,56.166666666666664,3.026706231454006,3.026706231454006,0.3303921568627451,812506.0,129.6,8,60.0,7.5,10,0.05952380952380952,2,0,"[12689, 0, 569, 182]",12689,569,0,182,0.9441220238095238,0.042336309523809526,0.0,0.2969374167776298,0.16245006657789615,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",751,746,96,5153,606,4547,57,54,3,96,0,11,60,17,11,2,223,122,4456,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,pref-abl FleetServiceFirst GridPeakPenalty,1148965.6860348047,93.0,4250.0,0.9829839099803555,0.8585858585858586,96,11,-0.3432494279176126,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,96.0,0.05952380952380952,-4.0,0.9902416017734004,-11322.554710836615,0.8585858585858586,-700.0,0.7160038280216322,1.2483221476510096,0.09383010780069603,1.2067858739515893,0.9508184523809524,0.04732142857142857,652.0,630.0,751.0,22.0,11.0,0.0,0.2969374167776298,base
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4543,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,94.8441247002398,43,834,94.8441247002398,43,834,44.51673945476335,3561.3391563810683,198.0,46.470238095238095,4.260791597284489,4.260791597284489,0.23469817219817218,653613.0,129.6,8,60.0,8.25,14,0.06547619047619048,4,0,"[12805, 0, 484, 151]",12805,484,0,151,0.9527529761904762,0.03601190476190476,0.0,0.28503937007874014,0.15118110236220472,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",635,630,79,4395,500,3895,63,62,1,79,0,11,67,16,11,4,181,96,3822,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,pref-abl FleetServiceFirst NoGridIncentive,1036490.5241485026,93.0,4950.0,0.9830860666044221,1.0,79,11,-0.2398081534772274,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,79.0,0.06547619047619048,0.0,0.9790009255837973,-22232.19721197337,1.0,0.0,0.8106827206353274,1.1032028469750932,0.04443241943241941,1.2714449949520592,0.9504464285727893,0.04806547619047619,539.0,539.0,635.0,0.0,11.0,0.0,0.28503937007874014,base
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4543,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,95.20383693045564,40,834,95.20383693045564,40,834,44.14673835516843,3531.7390684134743,177.0,44.69047619047619,3.9605753862546615,3.9605753862546615,0.25248856604788805,619198.0,129.6,10,60.0,15.75,11,0.125,7,0,"[12812, 0, 476, 152]",12812,476,0,152,0.9532738095238096,0.035416666666666666,0.0,0.3105095541401274,0.1449044585987261,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",628,618,75,4396,505,3891,62,59,3,73,0,21,125,24,22,7,195,91,3828,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,pref-abl FleetServiceFirst GridPeakPenalty,1018247.7798128674,93.0,4425.0,0.9749151419119317,0.8939393939393939,73,22,0.11990407673860659,60.0,False,False,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,75.0,0.125,-3.0,0.9617700265319727,-40474.941547608585,0.8939393939393939,-525.0,0.7535618572512552,1.1032028469750932,0.062222813282135275,1.204498989439202,0.9504464285727893,0.05029761904761905,546.0,530.0,628.0,16.0,21.0,0.0,0.3105095541401274,base
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4544,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,95.5503512880562,38,854,95.5503512880562,38,854,54.87850354377933,4390.280283502347,205.0,63.32738095238095,3.2371463483410094,3.2371463483410094,0.30891405342624856,1052353.0,129.6,20,60.0,8.25,15,0.06547619047619048,3,0,"[12642, 0, 609, 189]",12642,609,0,189,0.940625,0.0453125,0.0,0.2807017543859649,0.16040100250626566,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",798,795,98,5290,651,4639,62,57,5,98,0,12,89,17,12,3,224,128,4549,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,pref-abl FleetServiceFirst NoGridIncentive,1228734.723216853,85.69999999999999,5125.0,0.9849904450865598,1.0,98,12,-0.5854800936768072,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,98.0,0.06547619047619048,1.0,0.9790256075136079,-26324.09627349861,1.0,0.0,0.8116364319954883,0.9918981481481509,0.05818815331010452,1.254379618162378,0.9509030032465986,0.04873511904761905,670.0,670.0,798.0,0.0,12.0,0.0,0.2807017543859649,base
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4544,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,95.90163934426229,35,854,95.90163934426229,35,854,54.32917988642485,4346.3343909139885,177.0,60.70238095238095,2.915865856050206,2.915865856050206,0.34295130481571157,971446.0,129.6,18,60.0,10.5,10,0.08333333333333333,4,0,"[12660, 0, 608, 172]",12660,608,0,172,0.9419642857142857,0.04523809523809524,0.0,0.2705128205128205,0.1423076923076923,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",780,775,91,5290,643,4647,61,55,6,90,0,14,83,21,15,4,211,111,4565,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,pref-abl FleetServiceFirst GridPeakPenalty,1233659.8770379438,100.0,4425.0,0.9751308731446514,0.8634146341463415,90,15,-0.23419203747072004,60.0,False,False,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,91.0,0.08333333333333333,-4.0,0.982949848947241,-21398.942452407908,0.8634146341463415,-700.0,0.7310830913761187,1.1574074074074108,0.09222540469956753,1.1579404083471703,0.9509030032465986,0.048660714285714286,697.0,673.0,780.0,24.0,14.0,0.0,0.2705128205128205,base
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4545,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,95.87155963302753,36,872,95.87155963302753,36,872,53.50778930808152,4280.623144646522,198.0,51.69642857142857,3.8300518134715027,3.8300518134715027,0.2610930735930736,740843.0,129.6,9,60.0,8.25,14,0.06547619047619048,6,0,"[12654, 0, 615, 171]",12654,615,0,171,0.9415178571428572,0.04575892857142857,0.0,0.2964376590330789,0.15012722646310434,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",786,780,86,5428,636,4792,69,69,0,86,0,10,56,16,11,6,233,118,4711,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,pref-abl FleetServiceFirst NoGridIncentive,1245223.1904428164,71.0,4950.0,0.9878632041335467,1.0,86,11,-0.11467889908256268,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,86.0,0.06547619047619048,0.0,0.9795021738725297,-26058.511280968785,1.0,0.0,0.8763385146804837,1.109375,0.03228715728715728,1.14652649563655,0.9503818401682622,0.04933035714285714,664.0,664.0,786.0,0.0,10.0,0.0,0.2964376590330789,base
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4545,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,95.87155963302753,36,872,95.87155963302753,36,872,53.240076181385724,4259.206094510858,177.0,52.82738095238095,3.350535211267606,3.350535211267606,0.29845977939198276,754279.0,129.6,8,60.0,6.75,11,0.05357142857142857,3,0,"[12679, 0, 616, 145]",12679,616,0,145,0.9433779761904761,0.04583333333333333,0.0,0.2733245729303548,0.12483574244415244,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",761,758,72,5428,622,4806,74,73,1,72,0,9,54,13,9,3,208,95,4740,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,pref-abl FleetServiceFirst GridPeakPenalty,1258751.3477250128,71.0,4425.0,0.9829206723910444,0.8939393939393939,72,9,-0.11467889908256268,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,72.0,0.05357142857142857,-3.0,0.9901435268188146,-12530.353998772334,0.8939393939393939,-525.0,0.7666222791293216,1.109375,0.06965386308606644,1.1673200105855643,0.9503818401682622,0.04992559523809524,696.0,671.0,761.0,25.0,9.0,0.0,0.2733245729303548,base
