severity_level,severity_label,fleet_policy,grid_policy,capacity_pct,driver_pass_rate,fleet_pass_rate,grid_pass_rate,all_pass_rate,actual_to_fleet_request_ratio_mean
0,full_compliance,FleetServiceFirst,GridPeakPenalty,20,1.0,1.0,1.0,1.0,0.9561955898239507
0,full_compliance,FleetServiceFirst,GridPeakPenalty,35,1.0,1.0,1.0,1.0,0.9688869202934771
0,full_compliance,FleetServiceFirst,GridPeakPenalty,50,1.0,1.0,0.9,0.9,0.975633913409748
0,full_compliance,FleetServiceFirst,NoGridIncentive,20,1.0,1.0,1.0,1.0,1.0
0,full_compliance,FleetServiceFirst,NoGridIncentive,35,1.0,1.0,1.0,1.0,1.0
0,full_compliance,FleetServiceFirst,NoGridIncentive,50,1.0,1.0,1.0,1.0,1.0
0,full_compliance,FleetServiceGridWeighted,GridPeakPenalty,20,1.0,1.0,0.95,0.95,0.958020730092102
0,full_compliance,FleetServiceGridWeighted,GridPeakPenalty,35,1.0,1.0,0.95,0.95,0.9688821470806653
0,full_compliance,FleetServiceGridWeighted,GridPeakPenalty,50,1.0,1.0,0.9,0.9,0.9756304942635332
0,full_compliance,FleetServiceGridWeighted,NoGridIncentive,20,1.0,1.0,1.0,1.0,1.0
0,full_compliance,FleetServiceGridWeighted,NoGridIncentive,35,1.0,1.0,0.95,0.95,1.0
0,full_compliance,FleetServiceGridWeighted,NoGridIncentive,50,1.0,1.0,0.95,0.95,1.0
1,mild_deviation,FleetServiceFirst,GridPeakPenalty,20,0.15,0.4,0.7,0.05,1.042574921046278
1,mild_deviation,FleetServiceFirst,GridPeakPenalty,35,0.0,0.15,0.2,0.0,1.0805369200082353
1,mild_deviation,FleetServiceFirst,GridPeakPenalty,50,0.0,0.3,0.25,0.0,1.1013734234422399
1,mild_deviation,FleetServiceFirst,NoGridIncentive,20,0.1,0.2,0.55,0.05,1.089625494602447
1,mild_deviation,FleetServiceFirst,NoGridIncentive,35,0.0,0.2,0.15,0.0,1.1179171592713226
1,mild_deviation,FleetServiceFirst,NoGridIncentive,50,0.0,0.15,0.05,0.0,1.1309341421587447
1,mild_deviation,FleetServiceGridWeighted,GridPeakPenalty,20,0.3,0.35,0.75,0.05,1.043328316339799
1,mild_deviation,FleetServiceGridWeighted,GridPeakPenalty,35,0.0,0.05,0.2,0.0,1.0886983145123854
1,mild_deviation,FleetServiceGridWeighted,GridPeakPenalty,50,0.0,0.2,0.25,0.0,1.1052202637678774
1,mild_deviation,FleetServiceGridWeighted,NoGridIncentive,20,0.05,0.05,0.65,0.0,1.096637787131779
1,mild_deviation,FleetServiceGridWeighted,NoGridIncentive,35,0.0,0.05,0.05,0.0,1.114422326424051
1,mild_deviation,FleetServiceGridWeighted,NoGridIncentive,50,0.0,0.15,0.05,0.0,1.135826787433912
2,moderate_deviation,FleetServiceFirst,GridPeakPenalty,20,0.0,0.0,0.0,0.0,1.3259066766279983
2,moderate_deviation,FleetServiceFirst,GridPeakPenalty,35,0.0,0.0,0.0,0.0,1.444861336189569
2,moderate_deviation,FleetServiceFirst,GridPeakPenalty,50,0.0,0.0,0.0,0.0,1.5007843251714383
2,moderate_deviation,FleetServiceFirst,NoGridIncentive,20,0.0,0.0,0.0,0.0,1.3764148161021965
2,moderate_deviation,FleetServiceFirst,NoGridIncentive,35,0.0,0.0,0.0,0.0,1.49064634248463
2,moderate_deviation,FleetServiceFirst,NoGridIncentive,50,0.0,0.0,0.0,0.0,1.569500779441993
2,moderate_deviation,FleetServiceGridWeighted,GridPeakPenalty,20,0.0,0.0,0.0,0.0,1.32692315739142
2,moderate_deviation,FleetServiceGridWeighted,GridPeakPenalty,35,0.0,0.0,0.0,0.0,1.4605045924514903
2,moderate_deviation,FleetServiceGridWeighted,GridPeakPenalty,50,0.0,0.0,0.0,0.0,1.5213350537464914
2,moderate_deviation,FleetServiceGridWeighted,NoGridIncentive,20,0.0,0.0,0.0,0.0,1.3810794512597087
2,moderate_deviation,FleetServiceGridWeighted,NoGridIncentive,35,0.0,0.0,0.0,0.0,1.4929065487086124
2,moderate_deviation,FleetServiceGridWeighted,NoGridIncentive,50,0.0,0.0,0.0,0.0,1.5537291204561738
3,severe_deviation,FleetServiceFirst,GridPeakPenalty,20,0.0,0.0,0.0,0.0,1.8463285679624022
3,severe_deviation,FleetServiceFirst,GridPeakPenalty,35,0.0,0.0,0.0,0.0,2.1889899567822586
3,severe_deviation,FleetServiceFirst,GridPeakPenalty,50,0.0,0.0,0.0,0.0,2.368605853563875
3,severe_deviation,FleetServiceFirst,NoGridIncentive,20,0.0,0.0,0.0,0.0,1.9026092510072938
3,severe_deviation,FleetServiceFirst,NoGridIncentive,35,0.0,0.0,0.0,0.0,2.237709824316073
3,severe_deviation,FleetServiceFirst,NoGridIncentive,50,0.0,0.0,0.0,0.0,2.384210708635977
3,severe_deviation,FleetServiceGridWeighted,GridPeakPenalty,20,0.0,0.0,0.0,0.0,1.8617374165702358
3,severe_deviation,FleetServiceGridWeighted,GridPeakPenalty,35,0.0,0.0,0.0,0.0,2.1946054811230673
3,severe_deviation,FleetServiceGridWeighted,GridPeakPenalty,50,0.0,0.0,0.0,0.0,2.3821596697979714
3,severe_deviation,FleetServiceGridWeighted,NoGridIncentive,20,0.0,0.0,0.0,0.0,1.916084805870934
3,severe_deviation,FleetServiceGridWeighted,NoGridIncentive,35,0.0,0.0,0.0,0.0,2.2568745443765352
3,severe_deviation,FleetServiceGridWeighted,NoGridIncentive,50,0.0,0.0,0.0,0.0,2.4296196394361824
