cap,beta,s,rho0,weights,d_sel,slope,n_eq,ap_sel,W_sel,W_nbs,poa,sigma_star
20,1.0,0.25,0.9,equal,0.10000000000000009,-0.3600000000492098,1,0.0,0.40533878368544096,0.742647128433855,1.8321640028657578,0.5898236953211953
20,1.0,0.25,0.9,driver-heavy,0.10000000000000009,-0.3600000000492098,1,0.0,0.44663439787939097,0.7947264378224114,1.7793668414160504,0.5898236953211953
20,1.0,0.25,0.9,grid-heavy,0.10000000000000009,-0.3600000000492098,1,0.0,0.4219198707018859,0.7400689772931185,1.754051014620323,0.5898236953211953
20,1.0,0.25,0.95,equal,0.050000000000000044,-0.19000000003877024,1,0.0,0.5009569839850461,0.742647128433855,1.4824568818787516,0.3530200948636404
20,1.0,0.25,0.95,driver-heavy,0.050000000000000044,-0.19000000003877024,1,0.0,0.5373338796592102,0.7947264378224114,1.4790179214577825,0.3530200948636404
20,1.0,0.25,0.95,grid-heavy,0.050000000000000044,-0.19000000003877024,1,0.0,0.5310631233483591,0.7400689772931185,1.3935612260685228,0.3530200948636404
20,1.0,0.25,0.97,equal,0.03000000000000025,-0.11640000002199889,1,0.0,0.5247674451162374,0.742647128433855,1.4151928351221497,0.20010516719643212
20,1.0,0.25,0.97,driver-heavy,0.03000000000000025,-0.11640000002199889,1,0.0,0.5821638987238477,0.7947264378224114,1.3651249065160493,0.20010516719643212
20,1.0,0.25,0.97,grid-heavy,0.03000000000000025,-0.11640000002199889,1,0.0,0.5307941718636741,0.7400689772931185,1.394267338495181,0.20010516719643212
20,1.0,0.4,0.9,equal,0.10000000000000009,-0.22500000001479667,1,0.0,0.40533878368544096,0.742647128433855,1.8321640028657578,0.8924543264436242
20,1.0,0.4,0.9,driver-heavy,0.10000000000000009,-0.22500000001479667,1,0.0,0.44663439787939097,0.7947264378224114,1.7793668414160504,0.8924543264436242
20,1.0,0.4,0.9,grid-heavy,0.10000000000000009,-0.22500000001479667,1,0.0,0.4219198707018859,0.7400689772931185,1.754051014620323,0.8924543264436242
20,1.0,0.4,0.95,equal,0.050000000000000266,-0.1187500000110475,1,0.0,0.5009569839850458,0.742647128433855,1.4824568818787522,0.5435685657115364
20,1.0,0.4,0.95,driver-heavy,0.050000000000000266,-0.1187500000110475,1,0.0,0.5373338796592099,0.7947264378224114,1.4790179214577834,0.5435685657115364
20,1.0,0.4,0.95,grid-heavy,0.050000000000000266,-0.1187500000110475,1,0.0,0.531063123348359,0.7400689772931185,1.393561226068523,0.5435685657115364
20,1.0,0.4,0.97,equal,0.03000000000000025,-0.0727500000019532,1,0.0,0.5247674451162374,0.742647128433855,1.4151928351221497,0.31090468144400313
20,1.0,0.4,0.97,driver-heavy,0.03000000000000025,-0.0727500000019532,1,0.0,0.5821638987238477,0.7947264378224114,1.3651249065160493,0.31090468144400313
20,1.0,0.4,0.97,grid-heavy,0.03000000000000025,-0.0727500000019532,1,0.0,0.5307941718636741,0.7400689772931185,1.394267338495181,0.31090468144400313
20,1.0,0.6,0.9,equal,0.10000000000000009,-0.15000000000431335,1,0.0,0.40533878368544096,0.742647128433855,1.8321640028657578,1.2959618346068629
20,1.0,0.6,0.9,driver-heavy,0.10000000000000009,-0.15000000000431335,1,0.0,0.44663439787939097,0.7947264378224114,1.7793668414160504,1.2959618346068629
20,1.0,0.6,0.9,grid-heavy,0.10000000000000009,-0.15000000000431335,1,0.0,0.4219198707018859,0.7400689772931185,1.754051014620323,1.2959618346068629
20,1.0,0.6,0.95,equal,0.050000000000000266,-0.07916666667773242,1,0.0,0.5009569839850458,0.742647128433855,1.4824568818787522,0.7976331935087307
20,1.0,0.6,0.95,driver-heavy,0.050000000000000266,-0.07916666667773242,1,0.0,0.5373338796592099,0.7947264378224114,1.4790179214577834,0.7976331935087307
20,1.0,0.6,0.95,grid-heavy,0.050000000000000266,-0.07916666667773242,1,0.0,0.531063123348359,0.7400689772931185,1.393561226068523,0.7976331935087307
20,1.0,0.6,0.97,equal,0.03000000000000025,-0.04850000000500287,1,0.0,0.5247674451162374,0.742647128433855,1.4151928351221497,0.4586373671074314
20,1.0,0.6,0.97,driver-heavy,0.03000000000000025,-0.04850000000500287,1,0.0,0.5821638987238477,0.7947264378224114,1.3651249065160493,0.4586373671074314
20,1.0,0.6,0.97,grid-heavy,0.03000000000000025,-0.04850000000500287,1,0.0,0.5307941718636741,0.7400689772931185,1.394267338495181,0.4586373671074314
20,2.0,0.25,0.9,equal,0.10000000000000009,-0.7200000003426686,1,0.0,0.40533878368544096,0.742647128433855,1.8321640028657578,0.6752630054383424
20,2.0,0.25,0.9,driver-heavy,0.10000000000000009,-0.7200000003426686,1,0.0,0.44663439787939097,0.7947264378224114,1.7793668414160504,0.6752630054383424
20,2.0,0.25,0.9,grid-heavy,0.10000000000000009,-0.7200000003426686,1,0.0,0.4219198707018859,0.7400689772931185,1.754051014620323,0.6752630054383424
20,2.0,0.25,0.95,equal,0.050000000000000044,-0.3800000002773806,1,0.0,0.5009569839850461,0.742647128433855,1.4824568818787516,0.38845940498078757
20,2.0,0.25,0.95,driver-heavy,0.050000000000000044,-0.3800000002773806,1,0.0,0.5373338796592102,0.7947264378224114,1.4790179214577825,0.38845940498078757
20,2.0,0.25,0.95,grid-heavy,0.050000000000000044,-0.3800000002773806,1,0.0,0.5310631233483591,0.7400689772931185,1.3935612260685228,0.38845940498078757
20,2.0,0.25,0.97,equal,0.030000000000000027,-0.23280000020498012,1,0.0,0.5247674451162381,0.742647128433855,1.4151928351221479,0.21554447731357929
20,2.0,0.25,0.97,driver-heavy,0.030000000000000027,-0.23280000020498012,1,0.0,0.5821638987238483,0.7947264378224114,1.3651249065160478,0.21554447731357929
20,2.0,0.25,0.97,grid-heavy,0.030000000000000027,-0.23280000020498012,1,0.0,0.5307941718636745,0.7400689772931185,1.3942673384951798,0.21554447731357929
20,2.0,0.4,0.9,equal,0.10000000000000009,-0.4500000000851045,1,0.0,0.40533878368544096,0.742647128433855,1.8321640028657578,0.9778936365607712
20,2.0,0.4,0.9,driver-heavy,0.10000000000000009,-0.4500000000851045,1,0.0,0.44663439787939097,0.7947264378224114,1.7793668414160504,0.9778936365607712
20,2.0,0.4,0.9,grid-heavy,0.10000000000000009,-0.4500000000851045,1,0.0,0.4219198707018859,0.7400689772931185,1.754051014620323,0.9778936365607712
20,2.0,0.4,0.95,equal,0.050000000000000044,-0.23750000007760616,1,0.0,0.5009569839850461,0.742647128433855,1.4824568818787516,0.5790078758286836
20,2.0,0.4,0.95,driver-heavy,0.050000000000000044,-0.23750000007760616,1,0.0,0.5373338796592102,0.7947264378224114,1.4790179214577825,0.5790078758286836
20,2.0,0.4,0.95,grid-heavy,0.050000000000000044,-0.23750000007760616,1,0.0,0.5310631233483591,0.7400689772931185,1.3935612260685228,0.5790078758286836
20,2.0,0.4,0.97,equal,0.03000000000000025,-0.14550000004831531,1,0.0,0.5247674451162374,0.742647128433855,1.4151928351221497,0.3263439915611503
20,2.0,0.4,0.97,driver-heavy,0.03000000000000025,-0.14550000004831531,1,0.0,0.5821638987238477,0.7947264378224114,1.3651249065160493,0.3263439915611503
20,2.0,0.4,0.97,grid-heavy,0.03000000000000025,-0.14550000004831531,1,0.0,0.5307941718636741,0.7400689772931185,1.394267338495181,0.3263439915611503
20,2.0,0.6,0.9,equal,0.10000000000000009,-0.30000000001972893,1,0.0,0.40533878368544096,0.742647128433855,1.8321640028657578,1.3814011447240098
20,2.0,0.6,0.9,driver-heavy,0.10000000000000009,-0.30000000001972893,1,0.0,0.44663439787939097,0.7947264378224114,1.7793668414160504,1.3814011447240098
20,2.0,0.6,0.9,grid-heavy,0.10000000000000009,-0.30000000001972893,1,0.0,0.4219198707018859,0.7400689772931185,1.754051014620323,1.3814011447240098
20,2.0,0.6,0.95,equal,0.050000000000000044,-0.15833333336101596,1,0.0,0.5009569839850461,0.742647128433855,1.4824568818787516,0.8330725036258779
20,2.0,0.6,0.95,driver-heavy,0.050000000000000044,-0.15833333336101596,1,0.0,0.5373338796592102,0.7947264378224114,1.4790179214577825,0.8330725036258779
20,2.0,0.6,0.95,grid-heavy,0.050000000000000044,-0.15833333336101596,1,0.0,0.5310631233483591,0.7400689772931185,1.3935612260685228,0.8330725036258779
20,2.0,0.6,0.97,equal,0.03000000000000025,-0.09700000002110797,1,0.0,0.5247674451162374,0.742647128433855,1.4151928351221497,0.4740766772245783
20,2.0,0.6,0.97,driver-heavy,0.03000000000000025,-0.09700000002110797,1,0.0,0.5821638987238477,0.7947264378224114,1.3651249065160493,0.4740766772245783
20,2.0,0.6,0.97,grid-heavy,0.03000000000000025,-0.09700000002110797,1,0.0,0.5307941718636741,0.7400689772931185,1.394267338495181,0.4740766772245783
20,4.0,0.25,0.9,equal,0.10000000000000009,-1.4400000028169655,1,0.0,0.40533878368544096,0.742647128433855,1.8321640028657578,0.8461416256726366
20,4.0,0.25,0.9,driver-heavy,0.10000000000000009,-1.4400000028169655,1,0.0,0.44663439787939097,0.7947264378224114,1.7793668414160504,0.8461416256726366
20,4.0,0.25,0.9,grid-heavy,0.10000000000000009,-1.4400000028169655,1,0.0,0.4219198707018859,0.7400689772931185,1.754051014620323,0.8461416256726366
20,4.0,0.25,0.95,equal,0.050000000000000044,-0.7600000023144647,1,0.0,0.5009569839850461,0.742647128433855,1.4824568818787516,0.45933802521508194
20,4.0,0.25,0.95,driver-heavy,0.050000000000000044,-0.7600000023144647,1,0.0,0.5373338796592102,0.7947264378224114,1.4790179214577825,0.45933802521508194
20,4.0,0.25,0.95,grid-heavy,0.050000000000000044,-0.7600000023144647,1,0.0,0.5310631233483591,0.7400689772931185,1.3935612260685228,0.45933802521508194
20,4.0,0.25,0.97,equal,0.030000000000000027,-0.4656000016367567,1,0.0,0.5247674451162381,0.742647128433855,1.4151928351221479,0.2464230975478736
20,4.0,0.25,0.97,driver-heavy,0.030000000000000027,-0.4656000016367567,1,0.0,0.5821638987238483,0.7947264378224114,1.3651249065160478,0.2464230975478736
20,4.0,0.25,0.97,grid-heavy,0.030000000000000027,-0.4656000016367567,1,0.0,0.5307941718636745,0.7400689772931185,1.3942673384951798,0.2464230975478736
20,4.0,0.4,0.9,equal,0.10000000000000009,-0.9000000006920138,1,0.0,0.40533878368544096,0.742647128433855,1.8321640028657578,1.1487722567950656
20,4.0,0.4,0.9,driver-heavy,0.10000000000000009,-0.9000000006920138,1,0.0,0.44663439787939097,0.7947264378224114,1.7793668414160504,1.1487722567950656
20,4.0,0.4,0.9,grid-heavy,0.10000000000000009,-0.9000000006920138,1,0.0,0.4219198707018859,0.7400689772931185,1.754051014620323,1.1487722567950656
