seed,car,arrival_hour,dwell_h,kwh
4541,0,5,6.0,8.489818353361905
4541,0,6,7.0,5.357307050997464
4541,0,14,3.0,2.8896657243381907
4541,0,8,14.0,3.515808037275408
4541,0,6,2.0,3.9398473850201654
4541,1,7,5.0,5.67591746765558
4541,1,17,6.0,1.2099754429937968
4541,1,6,14.0,7.224671734704769
4541,1,19,4.0,11.87797925964714
4541,1,7,4.0,9.004068059570857
4541,1,6,5.0,4.587050856331946
4541,2,12,8.0,1.8861993734653542
4541,2,11,2.0,27.65231239078657
4541,2,8,14.0,5.675060076258936
4541,2,9,6.0,5.825371211949106
4541,2,8,5.0,3.16865155434657
4541,2,12,12.0,2.882401909708497
4541,3,9,5.0,15.57953473525937
4541,3,6,4.0,43.45761049030365
4541,3,6,9.0,7.176433102047134
4541,3,8,10.0,3.976353111793714
4541,3,8,4.0,2.58429455613226
4541,4,7,3.0,3.3951103391183595
4541,4,19,5.0,16.208270383036584
4541,4,6,14.0,7.844087570250802
4541,4,12,2.0,15.065106460368428
4541,4,8,5.0,6.138993589630571
4541,5,17,3.0,2.157685574221353
4541,5,11,5.0,2.6575896443536875
4541,5,8,4.0,4.871684044493101
4541,5,5,5.0,4.052209489194649
4541,5,6,3.0,7.889528969216451
4541,6,12,6.0,4.581830621368686
4541,6,14,6.0,14.942759415117035
4541,6,8,7.0,2.9309908809880136
4541,6,7,13.0,14.771057225736843
4541,6,6,9.0,2.894056977876824
4541,7,6,10.0,31.97255503027789
4541,7,9,11.0,2.961099554264438
4541,7,7,11.0,1.2567078620957064
4541,7,7,6.0,10.458802705604816
4541,7,9,4.0,1.6176331184625425
4541,7,8,12.0,6.448701532706206
4541,8,5,3.0,3.6489675766847958
4541,8,6,4.0,15.94619245252081
4541,8,8,14.0,13.363426754819656
4541,8,6,5.0,10.002776289719918
4541,8,7,14.0,5.225732598080541
4541,9,4,6.0,12.385785973224989
4541,9,10,3.0,6.023337509427932
4541,9,6,9.0,3.668788066986405
4541,9,6,11.0,2.339305889617076
4541,9,6,3.0,17.46418475653749
4541,9,6,3.0,6.621606589888353
4541,10,7,1.0,2.664909651912072
4541,10,20,24.0,7.88301148000568
4541,10,7,5.0,2.8024529636162785
4541,10,8,6.0,38.4776387211642
4541,10,7,3.0,13.928124809724483
4541,11,6,3.0,1.9958891503244818
4541,11,6,7.0,19.416559946618
4541,11,6,5.0,23.833195135435307
4541,11,8,3.0,20.217328741272397
4541,11,13,14.0,0.8430341731792953
4541,12,7,3.0,2.532299455082464
4541,12,13,14.0,7.337479756877089
4541,12,8,6.0,3.588412520921879
4541,12,7,8.0,14.317376721481802
4541,12,8,3.0,3.4259614617401786
4541,13,12,14.0,16.926715779505244
4541,13,7,4.0,4.49216026823977
4541,13,6,2.0,21.397992502180802
4541,13,10,4.0,1.6911240058135977
4541,13,6,5.0,13.187798404956022
4541,14,9,2.0,17.012389398661796
4541,14,14,5.0,7.9206850980065235
4541,14,6,5.0,8.009638334703181
4541,14,9,5.0,29.19566426178815
4541,14,6,4.0,24.19949109832633
4541,15,9,12.0,3.970233381416482
4541,15,6,2.0,8.069852249657657
4541,15,18,1.0,22.41605098336337
4541,15,15,3.0,2.6024652317381576
4541,15,7,9.0,42.6995419693562
4541,16,12,5.0,7.398718286185307
4541,16,6,6.0,6.3637717202209725
4541,16,9,5.0,15.180680579812762
4541,16,7,14.0,2.597670149527338
4541,16,13,1.0,2.116343639885738
4541,17,14,6.0,6.886478121019848
4541,17,7,5.0,7.4090001320516174
4541,17,7,14.0,4.763355146834997
4541,17,21,5.0,8.568302059928715
4541,17,19,6.0,3.9782512407872686
4541,18,8,4.0,8.116000928096785
4541,18,7,5.0,16.08646632810946
4541,18,7,14.0,17.775158936733092
4541,18,9,8.0,2.4539599490942887
4541,18,18,4.0,7.721433206291474
4541,19,7,3.0,3.0756041721367806
4541,19,6,5.0,17.91857996082194
4541,19,6,14.0,4.085637790062456
4541,19,8,3.0,10.6769958274628
4541,19,5,12.0,6.8394949829838465
4541,19,10,5.0,13.073767139999212
4541,20,5,8.0,10.532052011205336
4541,20,16,13.0,28.161197855063186
4541,20,7,2.0,41.134576690760895
4541,20,8,4.0,9.713209752744442
4541,20,9,4.0,3.9771070844493073
4541,21,9,2.0,4.724776172837321
4541,21,7,3.0,23.15672034636341
4541,21,9,5.0,8.599057452059117
4541,21,8,3.0,8.398594382343292
4541,21,9,2.0,13.49300491325921
4541,21,7,6.0,30.969829296133717
4541,22,12,14.0,3.4641121799728
4541,22,16,2.0,39.78397090016574
4541,22,6,4.0,5.79287880522465
4541,22,6,6.0,4.162618454945451
4541,22,8,5.0,1.5090515602933534
4541,22,5,5.0,16.008857773691776
4541,23,7,2.0,23.688749205783935
4541,23,22,14.0,42.55681525837329
4541,23,18,5.0,7.99513282270981
4541,23,11,12.0,5.216697633596738
4541,23,8,3.0,1.5500707654258838
4541,24,6,14.0,6.544601534639143
4541,24,10,7.0,1.6689371569474005
4541,24,7,8.0,22.830182280495727
4541,24,16,3.0,12.569198255626626
4541,24,14,7.0,19.12522474955631
4541,24,14,6.0,5.810231163756587
4541,25,17,3.0,6.920487406811541
4541,25,7,2.0,26.872580184688793
4541,25,10,4.0,28.92349767935156
4541,25,21,3.0,7.267938445679178
4541,25,6,5.0,7.4671545904283505
4541,25,15,8.0,41.06573417247418
4541,26,15,2.0,16.38828974797532
4541,26,13,4.0,3.3478139861899447
4541,26,8,6.0,29.5301820001022
4541,26,7,3.0,4.272734649611559
4541,26,11,12.0,2.110342904250935
4541,26,7,11.0,6.425880330886361
4541,27,14,3.0,22.363788313368072
4541,27,13,6.0,17.427805355561762
4541,27,8,11.0,17.987596295485023
4541,27,6,7.0,9.768089379055448
4541,27,12,4.0,11.48504089738113
4541,27,18,5.0,12.46071504040616
4541,28,16,1.0,30.9655757560461
4541,28,7,8.0,1.3158725334148662
4541,28,10,2.0,13.716637573420659
4541,28,7,14.0,3.532437797643357
4541,28,7,4.0,4.173793419776129
4541,28,9,8.0,7.16646278909379
4541,29,15,3.0,10.838478911218678
4541,29,13,4.0,12.036101743828377
4541,29,8,2.0,5.518361023471626
4541,29,7,2.0,15.528789950870127
4541,29,6,14.0,4.219882706660343
4541,30,19,5.0,9.255578050805711
4541,30,5,7.0,42.45268882645935
4541,30,19,4.0,3.027262410801793
4541,30,13,4.0,45.433239000137505
4541,30,18,3.0,10.150688951557669
4541,31,8,7.0,6.921995407978625
4541,31,6,3.0,12.923421816188265
4541,31,7,14.0,12.58464804850311
4541,31,11,6.0,3.7680150861037385
4541,31,9,14.0,33.216170113778844
4541,32,14,4.0,16.863555064817216
4541,32,8,8.0,10.515657302044875
4541,32,18,2.0,1.9636802064257153
4541,32,13,5.0,1.8018124049589666
4541,32,7,5.0,10.14969311491721
4541,32,8,8.0,14.51775694921692
4541,32,9,11.0,9.956303353757882
4541,33,7,3.0,1.8972701959331983
4541,33,9,7.0,1.019657183020741
4541,33,7,6.0,17.32482670273077
4541,33,7,4.0,6.967801130307667
4541,33,13,3.0,9.275958889079476
4541,34,16,14.0,3.5082895272087966
4541,34,7,4.0,4.408309548286673
4541,34,6,2.0,17.97209377407733
4541,34,9,5.0,9.128818465997929
4541,34,6,2.0,2.5392799281614193
4541,35,15,6.0,9.927120159572954
4541,35,12,1.0,3.3745489183495274
4541,35,7,7.0,15.307333465627025
4541,35,7,7.0,14.610232825363866
4541,35,10,6.0,8.847968731166938
4541,36,10,2.0,14.670761359218027
4541,36,5,7.0,1.833116688990922
4541,36,8,4.0,6.241757866031362
4541,36,9,8.0,30.53501356216617
4541,36,18,4.0,17.138768464359654
4541,36,7,12.0,9.507974389479159
4541,37,7,11.0,17.552010214549178
4541,37,9,14.0,14.743005898368565
4541,37,20,6.0,10.92128347973047
4541,37,11,1.0,1.7570141397502657
4541,37,7,4.0,2.352756528349779
4541,37,7,10.0,11.237402914222585
4541,37,8,3.0,25.142496654483722
4541,38,9,7.0,26.837761875405416
4541,38,16,6.0,3.114876411108448
4541,38,7,8.0,14.008419335460689
4541,38,8,9.0,9.256500205763256
4541,38,16,3.0,10.415550869714485
4541,39,6,9.0,12.737795903821771
4541,39,18,8.0,12.031909223152665
4541,39,7,6.0,4.49955783322486
4541,39,7,9.0,9.23448975555202
4541,39,6,4.0,4.917358885737408
4541,40,14,8.0,5.021677261878367
4541,40,9,6.0,1.9074576137914576
4541,40,5,11.0,1.908537619359242
4541,40,6,9.0,7.595601807551618
4541,40,9,7.0,1.8856279182796676
4541,40,11,14.0,9.631638337807352
4541,40,15,9.0,2.00375197896309
4541,41,7,10.0,2.9477550417854035
4541,41,16,6.0,4.530520168131594
4541,41,8,14.0,9.900171646916316
4541,41,20,6.0,7.77245074642061
4541,41,10,5.0,9.080591668402615
4541,42,6,7.0,1.1824084932290153
4541,42,7,2.0,11.158528502664595
4541,42,16,14.0,22.698532503516475
4541,42,7,6.0,13.391750298559765
4541,42,20,5.0,16.87519209214571
4541,43,7,14.0,4.865346698194362
4541,43,10,7.0,18.791150210259982
4541,43,17,9.0,7.442981638607193
4541,43,7,14.0,7.217119048063376
4541,43,7,13.0,16.588649173949182
4541,43,18,6.0,16.711128045325758
4541,44,5,6.0,14.558662840036328
4541,44,8,4.0,13.112023190417036
4541,44,11,4.0,7.637475067049343
4541,44,7,4.0,11.150730851374414
4541,44,6,10.0,3.1073778515523593
4541,45,7,8.0,7.738744038930896
4541,45,7,3.0,4.799840081301385
4541,45,7,3.0,18.619519721085325
4541,45,7,4.0,8.51728903890406
4541,45,8,4.0,6.24730225697278
4541,46,9,8.0,5.578147024047691
4541,46,12,3.0,18.557213395153962
4541,46,7,14.0,7.113623546025582
4541,46,7,5.0,13.578411669068995
4541,46,9,3.0,2.0545063343995285
4541,46,6,3.0,4.980613750105261
4541,47,8,3.0,2.23944863684862
4541,47,17,12.0,8.410118403889111
4541,47,6,2.0,10.20081627337913
4541,47,14,14.0,1.071140173760176
4541,47,7,3.0,1.3155247176846787
4541,47,4,14.0,4.497336688870481
4541,48,15,3.0,27.655929146783063
4541,48,12,13.0,12.476733077579896
4541,48,8,4.0,19.851177894431316
4541,48,12,2.0,2.0414661608975133
4541,48,17,7.0,11.298136074747415
4541,49,14,6.0,1.0167048405067185
4541,49,6,10.0,1.0940653335480781
4541,49,6,7.0,47.22288763302453
4541,49,7,3.0,4.2314751223427045
4541,49,11,6.0,5.86660960617316
4541,50,7,3.0,11.708955940512412
4541,50,5,14.0,12.311449185823431
4541,50,16,2.0,5.471045207380246
4541,50,6,14.0,1.1471165519500823
4541,50,14,10.0,41.446007115401265
4541,51,16,1.0,4.27706891852783
4541,51,8,6.0,34.246623499159504
4541,51,14,14.0,9.256182292608141
4541,51,16,14.0,11.632516596042583
4541,51,8,5.0,4.695139025408085
4541,52,12,14.0,5.788535584956931
4541,52,6,5.0,18.031633769066914
4541,52,6,11.0,4.547649873667638
4541,52,9,3.0,14.13854437630402
4541,52,7,3.0,1.316468504045277
4541,52,9,5.0,7.140186610370133
4541,53,6,3.0,6.567435352634115
