severity_level,severity_label,driver_behavior,fleet_policy,grid_policy,capacity_pct,rows,driver_pass_rate,fleet_pass_rate,grid_pass_rate,all_pass_rate,delivered_ratio_mean,reliability_delta_mean,peak_ratio_mean,ramp_ratio_mean,load_factor_delta_mean,actual_request_mean,fleet_request_mean,grid_adjusted_request_mean,grid_deferred_mean,actual_to_fleet_request_ratio_mean,dominant_failure_pattern
0,full_compliance,Severity0Full,FleetServiceFirst,GridPeakPenalty,35,5,1.0,1.0,1.0,1.0,1.0,0.0,0.8604535925290643,1.0,0.03211392550096829,2358.4,2380.0,2358.4,21.6,0.9909826446890184,all_pass
1,mild_deviation,Severity1Mild,FleetServiceFirst,GridPeakPenalty,35,5,0.0,0.0,0.0,0.0,0.9854960588191372,-0.38743648376037354,0.8816657137411854,1.1195882852292018,0.05881521849052962,2642.2,2311.0,2289.6,21.4,1.143748466111509,driver_fleet_grid_fail
2,moderate_deviation,Severity2Moderate,FleetServiceFirst,GridPeakPenalty,35,5,0.0,0.0,0.0,0.0,0.9538448420487302,-0.7075054336488279,0.909014675052411,1.2981907894736842,0.14957552765911936,3576.4,2221.8,2200.8,21.0,1.610102734059497,driver_fleet_grid_fail
3,severe_deviation,Severity3Severe,FleetServiceFirst,GridPeakPenalty,35,5,0.0,0.0,0.0,0.0,0.9353301523716295,-0.46716428846379754,0.9519058509624546,1.494459182229768,0.3220854910396041,5525.4,2167.6,2146.6,21.0,2.556233489337152,driver_fleet_grid_fail
0,full_compliance,Severity0Full,FleetServiceFirst,NoGridIncentive,35,5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2358.8,2358.8,2358.8,0.0,1.0,all_pass
1,mild_deviation,Severity1Mild,FleetServiceFirst,NoGridIncentive,35,5,0.0,0.0,0.0,0.0,0.9863572196369541,-0.21439650109390412,1.0,1.094940223542728,0.027673976966429797,2643.0,2288.8,2288.8,0.0,1.1555211649404147,driver_fleet_grid_fail
2,moderate_deviation,Severity2Moderate,FleetServiceFirst,NoGridIncentive,35,5,0.0,0.0,0.0,0.0,0.9518616644737165,-0.7835998394715318,1.0,1.4037369128466328,0.11784386996651146,3570.0,2200.8,2200.8,0.0,1.6239022761149589,driver_fleet_grid_fail
3,severe_deviation,Severity3Severe,FleetServiceFirst,NoGridIncentive,35,5,0.0,0.0,0.0,0.0,0.9376039816745217,-0.278455910036331,0.9863255193443873,1.5253059564233165,0.30903732226510827,5541.4,2168.8,2168.8,0.0,2.561153722872274,driver_fleet_grid_fail
0,full_compliance,Severity0Full,FleetServiceGridWeighted,GridPeakPenalty,35,5,1.0,1.0,1.0,1.0,0.9998104317947825,0.0,0.8604535925290643,1.0,0.032089415697046715,2358.0,2379.6,2358.0,21.6,0.9909811878971245,all_pass
1,mild_deviation,Severity1Mild,FleetServiceGridWeighted,GridPeakPenalty,35,5,0.0,0.0,0.0,0.0,0.984802514220181,-0.3010320818805923,0.8958071278825995,1.115186403508772,0.05330886431367878,2631.0,2310.0,2288.6,21.4,1.1396067223028248,driver_fleet_grid_fail
2,moderate_deviation,Severity2Moderate,FleetServiceGridWeighted,GridPeakPenalty,35,5,0.0,0.0,0.0,0.0,0.9546612094466207,-0.7005349719899783,0.9160853821231181,1.4007445529145444,0.1505862049415588,3589.2,2201.6,2180.0,21.6,1.6326459651132352,driver_fleet_grid_fail
3,severe_deviation,Severity3Severe,FleetServiceGridWeighted,GridPeakPenalty,35,5,0.0,0.0,0.0,0.0,0.9354711053830812,-0.3805571836917636,0.9797217457594816,1.509813596491228,0.31463620686731303,5543.4,2164.0,2144.4,19.6,2.5685969286424806,driver_fleet_grid_fail
0,full_compliance,Severity0Full,FleetServiceGridWeighted,NoGridIncentive,35,5,1.0,1.0,1.0,1.0,0.9998104317947825,0.0,1.0,1.0,-2.104377104377164e-05,2358.4,2358.4,2358.4,0.0,1.0,all_pass
1,mild_deviation,Severity1Mild,FleetServiceGridWeighted,NoGridIncentive,35,5,0.0,0.0,0.0,0.0,0.9839801233804415,-0.38334316209611075,1.0,1.1052401669496321,0.027139360246671566,2626.2,2282.8,2282.8,0.0,1.1500960249106589,driver_fleet_grid_fail
2,moderate_deviation,Severity2Moderate,FleetServiceGridWeighted,NoGridIncentive,35,5,0.0,0.0,0.0,0.0,0.9551065768493334,-0.5608574665751178,1.0,1.3623673599320882,0.1162001444135878,3586.2,2194.8,2194.8,0.0,1.6345561768480508,driver_fleet_grid_fail
3,severe_deviation,Severity3Severe,FleetServiceGridWeighted,NoGridIncentive,35,5,0.0,0.0,0.0,0.0,0.9371440260298953,-0.4493525764932372,1.0,1.512938596491228,0.30387795293455666,5524.4,2147.0,2147.0,0.0,2.5782233007508815,driver_fleet_grid_fail
