experiment,scenario_label,scenario,site_type,demand_regime,capacity_pct,n_slots_home,n_slots_work,n_slots_public,seed,policy,family,reliability_pct,failure_count,mandatory_events,urgent_trip_reliability_pct,urgent_trip_failure_count,urgent_trip_events,delivered_kwh_per_vehicle,total_delivered_kwh,peak_demand_kw,mean_demand_kw,coincidence_factor,peak_to_average_ratio,load_factor,line_loss_proxy_kw2h,capacity_kw_proxy,overload_hours_proxy,p95_wait_minutes,mean_wait_minutes,max_queue_length,mean_queue_length,queue_abandonments_location_total,queue_abandonments_timeout_total,action_counts,idle_action_count,normal_request_action_count,flexible_request_action_count,other_action_count,idle_action_share,normal_request_action_share,flexible_request_action_share,cheap_window_request_share,charge_above_target_request_share,claim_boundary,request_count,admitted_count,requested_not_delivered_count,critical_request_count,critical_request_served_count,critical_request_missed_count,optional_request_count,optional_request_served_count,optional_request_missed_count,critical_requested_not_delivered_count,flexible_requested_not_delivered_count,scarce_hour_count,scarce_request_count,scarce_unserved_count,oversubscription_vehicle_steps,queue_rejection_count,cheap_window_request_count,charge_above_target_request_count,low_laxity_missed_charge_count,horizon_hours,driver_behavior,fleet_policy,grid_policy,multi_actor_description,energy_cost_usd,ramp_p95_kw,demand_charge_exposure_usd_month_25,delivered_ratio_vs_ll,peak_ratio_vs_ll,critical_rnd_delta_vs_ll,oversub_delta_vs_ll,reliability_delta_vs_ll_pp,p95_wait_delta_vs_ll_min,energy_matched_1pct,energy_matched_2pct,service_gate_pass,classification,anchor_policy,driver_service_pass,fleet_queue_pass,fleet_cost_pass,fleet_operation_pass,grid_peak_pass,grid_shape_pass,grid_pass,all_pass,final_acceptability_class,actor_failure_pattern,first_failed_layer,requested_not_delivered_delta_vs_anchor,mean_queue_delta_vs_anchor,max_queue_delta_vs_anchor,energy_cost_ratio_vs_anchor,energy_cost_delta_usd_vs_anchor,demand_charge_ratio_vs_anchor,demand_charge_delta_usd_month_25_vs_anchor,peak_to_average_ratio_vs_anchor,ramp_p95_ratio_vs_anchor,load_factor_delta_vs_anchor,squared_load_proxy_ratio_vs_anchor,mean_compliance_probability,noncompliance_share,fleet_recommended_request_count,grid_adjusted_request_count,actual_request_count_driver_layer,grid_deferred_request_count,queue_high_timesteps,queue_avoidance_count,cheap_window_actual_request_share,severity_level,severity_label,service_family_decision,actual_to_fleet_request_ratio
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,LeastLaxity,anchor,79.20907240476883,715,3439,79.20907240476883,715,3439,165.99202044677426,13279.361635741941,198.0,32.64732142857143,6.064816080951729,6.064816080951729,0.16488546176046176,1420469.0,129.6,12,0.0,0.0,14,0.0,0,0,"[51664, 0, 2096, 0]",51664,2096,0,0,0.9610119047619048,0.03898809523809524,0.0,0.22853053435114504,0.0,"Behavior Applied Energy package v1; behavior proxies are imposed perturbations, not measured traits.",2096,2096,0,18634,1932,16702,168,164,4,0,0,0,0,0,0,0,479,0,16702,672,FullyCompliant,FleetServiceFirst,NoGridIncentive,LeastLaxity anchor used for paired thresholds.,4054007.084105186,57.0,4950.0,1.0,1.0,0,0,0.0,0.0,True,True,True,anchor,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,comparator,ServiceFirst/Balanced merged family,
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity0Full__F_ServiceFirst__G_NoGrid,multi_actor,79.20907240476883,715,3439,79.20907240476883,715,3439,165.99202044677426,13279.361635741941,198.0,32.64732142857143,6.064816080951729,6.064816080951729,0.16488546176046176,1420469.0,129.6,12,0.0,0.0,14,0.0,0,0,"[51664, 0, 2096, 0]",51664,2096,0,0,0.9610119047619048,0.03898809523809524,0.0,0.22853053435114504,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2096,2096,0,18634,1932,16702,168,164,4,0,0,0,0,0,0,0,479,0,16702,672,Severity0Full,FleetServiceFirst,NoGridIncentive,Direct multi-actor severity level 0 (full_compliance) with FleetServiceFirst and NoGridIncentive; keep_probability=1.0.,4054007.084105186,57.0,4950.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2096.0,2096.0,2096.0,0.0,0.0,0.0,0.22853053435114504,0,full_compliance,ServiceFirst/Balanced merged family,1.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity0Full__F_ServiceFirst__G_PeakPenalty,multi_actor,79.20907240476883,715,3439,79.20907240476883,715,3439,165.99202044677426,13279.361635741941,170.0,32.64732142857143,5.207165322029263,5.207165322029263,0.19204306722689077,1399385.0,129.6,12,0.0,0.0,10,0.0,0,0,"[51664, 0, 2096, 0]",51664,2096,0,0,0.9610119047619048,0.03898809523809524,0.0,0.22805343511450382,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2096,2096,0,18634,1932,16702,168,164,4,0,0,0,0,0,0,0,478,0,16702,672,Severity0Full,FleetServiceFirst,GridPeakPenalty,Direct multi-actor severity level 0 (full_compliance) with FleetServiceFirst and GridPeakPenalty; keep_probability=1.0.,4054567.276053572,57.0,4250.0,1.0,0.8585858585858586,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,1.000138182281571,560.1919483859092,0.8585858585858586,-700.0,0.8585858585858586,1.0,0.027157605466429008,0.985157015042215,1.0,0.0,2115.0,2096.0,2096.0,19.0,0.0,0.0,0.22805343511450382,0,full_compliance,ServiceFirst/Balanced merged family,0.991016548463357
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity0Full__F_ServiceGridWeighted__G_NoGrid,multi_actor,79.20907240476883,715,3439,79.20907240476883,715,3439,165.99202044677426,13279.361635741941,198.0,32.64732142857143,6.064816080951729,6.064816080951729,0.16488546176046176,1419587.0,129.6,11,0.0,0.0,14,0.0,0,0,"[51664, 0, 2096, 0]",51664,2096,0,0,0.9610119047619048,0.03898809523809524,0.0,0.2318702290076336,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2096,2096,0,18634,1936,16698,210,160,50,0,0,0,0,0,0,0,486,0,16698,672,Severity0Full,FleetServiceGridWeighted,NoGridIncentive,Direct multi-actor severity level 0 (full_compliance) with FleetServiceGridWeighted and NoGridIncentive; keep_probability=1.0.,4037710.1303643165,57.0,4950.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,0.9959800381689597,-16296.953740869649,1.0,0.0,1.0,1.0,0.0,0.999379078318499,1.0,0.0,2096.0,2096.0,2096.0,0.0,0.0,0.0,0.2318702290076336,0,full_compliance,strong service-grid baseline,1.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity0Full__F_ServiceGridWeighted__G_PeakPenalty,multi_actor,79.20907240476883,715,3439,79.20907240476883,715,3439,165.99202044677426,13279.361635741941,170.0,32.64732142857143,5.207165322029263,5.207165322029263,0.19204306722689077,1398503.0,129.6,11,0.0,0.0,10,0.0,0,0,"[51664, 0, 2096, 0]",51664,2096,0,0,0.9610119047619048,0.03898809523809524,0.0,0.23139312977099236,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2096,2096,0,18634,1936,16698,210,160,50,0,0,0,0,0,0,0,485,0,16698,672,Severity0Full,FleetServiceGridWeighted,GridPeakPenalty,Direct multi-actor severity level 0 (full_compliance) with FleetServiceGridWeighted and GridPeakPenalty; keep_probability=1.0.,4038270.3223127034,57.0,4250.0,1.0,0.8585858585858586,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,0.9961182204505308,-15736.761792482808,0.8585858585858586,-700.0,0.8585858585858586,1.0,0.027157605466429008,0.984536093360714,1.0,0.0,2115.0,2096.0,2096.0,19.0,0.0,0.0,0.23139312977099236,0,full_compliance,strong service-grid baseline,0.991016548463357
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,79.41261994765921,708,3439,79.41261994765921,708,3439,163.29765757884002,13063.812606307201,198.0,37.958333333333336,5.216245883644347,5.216245883644347,0.19170875420875422,1734400.0,129.6,20,120.0,28.5,14,0.05654761904761905,12,0,"[51393, 0, 1945, 422]",51393,1945,0,422,0.9559709821428571,0.03617931547619048,0.0,0.2501056189269117,0.13814955640050697,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2367,2354,248,18634,1984,16650,167,160,7,247,0,38,182,53,38,12,592,327,16427,672,Severity1Mild,FleetServiceFirst,NoGridIncentive,Direct multi-actor severity level 1 (mild_deviation) with FleetServiceFirst and NoGridIncentive; keep_probability=0.95.,3972664.0583982226,67.5,4950.0,0.9837681181259059,1.0,247,38,0.20354754289037658,120.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,248.0,0.05654761904761905,0.0,0.9799351545225733,-81343.02570696361,1.0,0.0,0.860083111180806,1.1842105263157894,0.026823292448292457,1.2210051750513387,0.95,0.049032738095238095,2032.0,2032.0,2367.0,0.0,38.0,0.0,0.2501056189269117,1,mild_deviation,ServiceFirst/Balanced merged family,1.1648622047244095
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,79.17999418435592,716,3439,79.17999418435592,716,3439,163.2465006954492,13059.720055635937,177.0,38.68452380952381,4.575473149715341,4.575473149715341,0.21855663169222492,1750664.0,129.6,12,60.0,20.25,11,0.04017857142857143,8,0,"[51400, 0, 1941, 419]",51400,1941,0,419,0.9561011904761905,0.03610491071428571,0.0,0.25042372881355934,0.13771186440677965,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2360,2350,227,18634,1990,16644,166,160,6,225,0,27,154,36,27,8,591,325,16435,672,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Direct multi-actor severity level 1 (mild_deviation) with FleetServiceFirst and GridPeakPenalty; keep_probability=0.95.,3985987.860480831,64.0,4425.0,0.9834599293150637,0.8939393939393939,225,27,-0.02907822041291297,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,227.0,0.04017857142857143,-3.0,0.9832217304476248,-68019.22362435516,0.8939393939393939,-525.0,0.7544290030634084,1.1228070175438596,0.05367116993176316,1.2324549145387897,0.95,0.050985863095238095,2057.0,2038.0,2360.0,19.0,27.0,0.0,0.25042372881355934,1,mild_deviation,ServiceFirst/Balanced merged family,1.1473018959649977
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_ServiceGridWeighted__G_NoGrid,multi_actor,78.48211689444607,740,3439,78.48211689444607,740,3439,162.15899124063904,12972.719299251123,198.0,36.873511904761905,5.369708220670729,5.369708220670729,0.18622985810485812,1655487.0,129.6,13,120.0,25.5,14,0.050595238095238096,16,0,"[51445, 0, 1936, 379]",51445,1936,0,379,0.9569382440476191,0.03601190476190476,0.0,0.25399568034557235,0.12397408207343412,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2315,2299,218,18634,1959,16675,205,156,49,218,0,34,186,47,35,16,588,287,16475,672,Severity1Mild,FleetServiceGridWeighted,NoGridIncentive,Direct multi-actor severity level 1 (mild_deviation) with FleetServiceGridWeighted and NoGridIncentive; keep_probability=0.95.,3930403.270305112,64.0,4950.0,0.9769083526074418,1.0,218,35,-0.7269555103227674,120.0,False,False,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,218.0,0.050595238095238096,0.0,0.9695107060161055,-123603.81380007416,1.0,0.0,0.8853868194842407,1.1228070175438596,0.02134439634439636,1.1654509883707422,0.95,0.04828869047619048,2025.0,2025.0,2315.0,0.0,34.0,0.0,0.25399568034557235,1,mild_deviation,strong service-grid baseline,1.14320987654321
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_ServiceGridWeighted__G_PeakPenalty,multi_actor,78.71474265774935,732,3439,78.71474265774935,732,3439,162.49443167573725,12999.55453405898,170.0,38.642857142857146,4.399260628465804,4.399260628465804,0.22731092436974792,1745920.0,129.6,14,60.0,19.5,11,0.03869047619047619,13,0,"[51401, 0, 1932, 427]",51401,1932,0,427,0.9561197916666667,0.0359375,0.0,0.2543450614667232,0.1403136922424756,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",2359,2346,248,18634,1967,16667,202,157,45,247,0,26,124,35,26,13,600,331,16432,672,Severity1Mild,FleetServiceGridWeighted,GridPeakPenalty,Direct multi-actor severity level 1 (mild_deviation) with FleetServiceGridWeighted and GridPeakPenalty; keep_probability=0.95.,3939142.749915284,64.0,4250.0,0.9789291752602136,0.8585858585858586,247,26,-0.49432974701947785,60.0,False,False,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,248.0,0.03869047619047619,-3.0,0.9716664692964504,-114864.33418990206,0.8585858585858586,-700.0,0.7253741201292033,1.1228070175438596,0.062425462609286164,1.2291151725240044,0.95,0.05070684523809524,2054.0,2035.0,2359.0,19.0,26.0,0.0,0.2543450614667232,1,mild_deviation,strong service-grid baseline,1.1484907497565726
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity2Moderate__F_ServiceFirst__G_NoGrid,multi_actor,79.41261994765921,708,3439,79.41261994765921,708,3439,157.199621130969,12575.969690477521,198.0,54.68154761904762,3.620965547270451,3.620965547270451,0.2761694324194324,3074514.0,129.6,38,240.0,84.0,14,0.16666666666666666,36,0,"[50554, 0, 1565, 1641]",50554,1565,0,1641,0.9403645833333333,0.029110863095238096,0.0,0.2822832189644417,0.39082969432314413,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",3206,3167,1130,18634,1998,16636,168,151,17,1127,0,108,650,252,118,36,905,1253,15580,672,Severity2Moderate,FleetServiceFirst,NoGridIncentive,Direct multi-actor severity level 2 (moderate_deviation) with FleetServiceFirst and NoGridIncentive; keep_probability=0.8.,3817755.8720047427,86.0,4950.0,0.9470311928721624,1.0,1127,118,0.20354754289037658,240.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,1130.0,0.16666666666666666,0.0,0.9417240258344074,-236251.21210044343,1.0,0.0,0.5970445762804115,1.5087719298245614,0.11128397065897067,2.1644358307009868,0.7999999999999998,0.19992559523809525,1937.0,1937.0,3206.0,0.0,108.0,0.0,0.2822832189644417,2,moderate_deviation,ServiceFirst/Balanced merged family,1.6551368094992256
